id,name,image,type,equipament,charge,FP,effect,locations,dlc
86,Ground Slam,http://eldenring.wiki.fextralife.com/file/Elden-Ring/ground_slam.gif,Regular,Can be used on all melee armaments.,No,14,Jump up high into the air and crash down on the ground ahead. The resulting pratfall sends a powerful shockwave in all directions.,Dropped by a Teardrop Scarab found rolling down the hill west of the Minor Erdtree in Mistwood. Elden Ring Map Link.,0
87,Earthshaker,http://eldenring.wiki.fextralife.com/file/Elden-Ring/earthshaker.gif,Regular,"Can be used Greataxes, Warhammers, and Colossal Weapons.",No,10 (-/5),"Thrust armament into the ground, then gather strength to unleash an earth-shaking shockwave. Follow up with a strong attack to swing the armament in a sweeping strike.","Can be obtained killing an invisible scarab on the road after Grand Lift of Dectus (found near a statue at the first intersection, you can hear it rolling and see a little cloud of dust moving).",0
88,Hoarah Loux's Earthshaker,http://eldenring.wiki.fextralife.com/file/Elden-Ring/hles.gif,Regular,Can be used on all melee armaments.,No,16 (-/16),"A skill where slamming both hands to the ground will unleash a shockwave, following up with another input will enable you to slam the ground again.",Trade Remembrance of Hoarah Loux with Enia at Roundtable Hold.,0
89,War Cry,http://eldenring.wiki.fextralife.com/file/Elden-Ring/war_cry_gif.gif,Regular,"Can be used on melee armaments (Daggers, Thrusting Swords, and Whips excepted).",No,16,"Give a war cry to rally the spirit and increase attack power.While active, strong attacks change to charging attacks.","Default skill on the Highland Axe.
Sold by Knight Bernahl at the Warmaster's Shack for 800 . Elden Ring Map Link.
Can be purchased from Twin Maiden Husks at the Roundtable Hold after giving them Bernahl's Bell Bearing.",0
90,Barbaric Roar,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-barbaric-roar-elden-ring-wiki-480px.gif,Regular,"Can be used on melee armaments (Daggers, Thrusting Swords, and Whips excepted).",No,16,"Let loose a bestial roar to rally the spirit and increase attack power. While active, strong attacks change to savage combo attacks.","Default skill on the Club.
On a Teardrop Beetle in Ravine-Veiled Village, found by going as far northeast as possible in Lake of Liurnia (near but not accessible from Grand Lift of Dectus).",0
91,Braggart's Roar,http://eldenring.wiki.fextralife.com/file/Elden-Ring/braggart_roar.gif,Regular,"Can be used on melee armaments (Daggers, Thrusting Swords, and Whips excepted).",No,16,"Declare your presence with a boastful roar. Raises attack power, defense and stamina recover speed.",Default skill on the Battle Hammer.,0
92,Troll's Roar,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-trolls-roar-elden-ring-wiki-480px.gif,Regular,"Can be used on large and Colossal Swords, Axes, and Hammers.",No,22,"Look into the distance and let out an intense roar, generating a powerful shockwave that blows back surrounding foes. Follow up with a strong attack to slam the armament down.","Default skill on the Troll's Hammer.
Can be found on the top of the big rock just south east the Church of Repose (in Mountaintops of the Giants).",0
93,Spinning Slash,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-spinning-slash-elden-ring-wiki-480px.gif,Regular,"Can be used on Swords, Axes, and Polearms (colossal weapons excepted).",No,6 (-/12),Skill favored by dexterous warriors. Slash foes as your body spins. Additional input allows for a follow-up attack.,"Default skill of the Scimitar.
Default skill of the Twinblade.
Default skill of the Gargoyle's Black Halberd.
Sold by Knight Bernahl at the Warmaster's Shack for 1,200 . Elden Ring Map Link.
Can be purchased from Twin Maiden Husks at the Roundtable Hold after giving them Bernahl's Bell Bearing.",0
94,Impaling Thrust,http://eldenring.wiki.fextralife.com/file/Elden-Ring/impaling_thrust_gif.gif,Regular,Can be used on armaments capable of thrusting (colossal weapons excepted).,No,9,"Skill that lets piercing armaments overcome enemy shields. Build power, then lunge forward for a long thrust that pierces an enemy's guard.","Default skill on the Short Spear, Katar, Partisan and Estoc.
Sold by Knight Bernahl at the Warmaster's Shack for 1,000 . Elden Ring Map Link.
Can be purchased from Twin Maiden Husks at the Roundtable Hold after giving them Bernahl's Bell Bearing.",0
95,Piercing Fang,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-piercing-fang-elden-ring-wiki-480px.gif,Regular,Can be used on medium and large armaments capable of thrusting.,No,16,"Skill used by Yura, the Bloody Finger Hunter. Starting with the blade held horizontally, make a powerful thrust that cannot be blocked.",Can be acquired from Bloody Finger Hunter Yura. Elden Ring Map Link.,0
96,Repeating Thrust,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-repeating-thrust-elden-ring-wiki-480px.gif,Regular,Can be used on all thrusting weapons. (Colossal Weapons excepted).,No,7,"Twist to build power, then unleash a flurry of thrusts.","Found inside a chest, underground of Gatefront Ruins in Limgrave. You'll find the stairs that goes down at the center part of the Gatefront Ruins. Elden Ring Map Link.
Default skill for the Scorpion's Stinger.",0
97,Double Slash,http://eldenring.wiki.fextralife.com/file/Elden-Ring/double_slash.gif,Regular,Can be used on swords and polearms capable of slashing (colossal weapons excepted).,No,6 (-/3),Skill of superior swordsmen. Perform a crossing slash attack from a low stance. Repeated inputs allow for up to two follow-up attacks.,"Found in Sellia, Town of Sorcery: Dropped by a Teardrop Scarab found high above on a very large root in the western end of town. Accessible by jumping across the rooftops. Elden Ring Map Link.",0
98,Sword Dance,http://eldenring.wiki.fextralife.com/file/Elden-Ring/sword_dance.gif,Regular,"Can be used on Swords, Axes, and Polearms capable of slashing (colossal weapons and great spears excepted).",No,6 (-/6),Quickly close in to perform a series of spinning upward slashes. Follow up with an additional input to finish with a downward slash.,Dropped by a Teardrop Scarab found near the Minor Erdtree in southwest Liurnia. Elden Ring Map Link.,0
99,Unsheathe,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-unsheathe-elden-ring-wiki-480px.gif,Regular,Can be used on Katanas.,No,-0.666666667,"Skill of swordsmen from the Land of Reeds. Sheathe blade, holding it at the hip in a composed stance. Follow up with a normal or strong attack to perform a swift slash attack.","Dropped by a Teardrop Scarab in the water in the South East portion of Agheel Lake, North West of the Agheel Lake South Site of Grace. Elden Ring Map Link.",0
100,Quickstep,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-quickstep-elden-ring-wiki-480px.gif,Regular,Can be used on all melee armaments.,No,3,Skill prized by the crafty and fleet of foot. Perform a quickstep maneuver that allows for circling around lock-on targets.,"Default skill on the Great Knife & Forked Hatchet.
Sold by Knight Bernahl at the Warmaster's Shack for 800 . Elden Ring Map Link.
Can be purchased from Twin Maiden Husks at the Roundtable Hold after giving them Bernahl's Bell Bearing.",0
101,Bloodhound's Step,http://eldenring.wiki.fextralife.com/file/Elden-Ring/bhs.gif,Regular,Can be used on all melee armaments.,No,5,Skill that allows the user to become temporarily invisible while dodging at high speed. Moves faster and travels farther than a regular quickstep. This skill can be used to circle around lock-on targets.,"Dropped by a Night's Cavalry at the bridge in front of the Lenne's Rise tower, in Dragonbarrow.",0
102,Raptor of the Mists,http://eldenring.wiki.fextralife.com/file/Elden-Ring/raptor_of_the_mists_gif_elden_ring_wiki_guide.gif,Regular,Can be used on all melee armaments,No,6,"Duck into a low stance, momentarily vanishing. If an enemy attack connects, avian wings will allow for a quick escape into the air",Found after aiding Bloody Finger Hunter Yura in defeating his target in Raya Lucaria.,0
103,Beast's Roar,http://eldenring.wiki.fextralife.com/file/Elden-Ring/beast's_roar_gif_elden_ring_wiki_guide.gif,Regular,Can be used on all melee armaments.,No,10,"Unleash a beastly roar, rending the air as a forward-traveling projectile.","Bestial Sanctum: Reward from Gurranq, Beast Clergyman after giving him the fourth Deathroot. Elden Ring Map Link.",0
104,Square Off,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-square-off-elden-ring-wiki-480px.gif,Regular,Can be used on Straight Swords.,No,-0.75,"Slash up through enemy guards with a normal attack, or run and thrust with a strong attack.","Default skill of the Longsword.
Dropped by a Teardrop Scarab found rolling around at the edge a the cliff in Siofra River. Elden Ring Map Link.",0
105,Charge Forth,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-charge-forth-elden-ring-wiki-480px.gif,Regular,"Can be used on Polearms capable of thrusting, Heavy Thrusting Swords, and Twinblades.",No,16,"Quickly charge forward with the armament at the hip, carrying the momentum into a thrust. Hold to cover a greater distance","Default skill of the Golem's Halberd
Default skill of the Lance.
Dropped by a Teardrop Scarab that is attached to a ceiling under some Poison Pod enemies. Elden Ring Map Link.",0
106,Spinning Strikes,http://eldenring.wiki.fextralife.com/file/Elden-Ring/spinning_strikes_gif_elden_ring_wiki_guide.gif,Regular,Can be used on Polearms (Great Spears excepted).,??,2 (10/15),Polearm skill that performs continuous spinning attacks. Hold to continue the attack. Can be followed up with a normal or strong attack. Nullifies projectiles such as arrows while spinning.,"After completing Irina's questline, Edgar will invade at the Revenger's Shack where he upon death will drop aBanished Knight's Halberd +8 with the Spinning Strikes Ash of War attached. The ash of war can be extracted from the weapon.",0
107,Giant Hunt,http://eldenring.wiki.fextralife.com/file/Elden-Ring/giant_hunt.gif,Regular,"Can be used on large and colossal weapons capable of thrusting, Spears and Twinblades.",No,16,"Skill developed for confronting gigantic foes. Step forward from a low stance, carrying the momentum into a sudden upward thrust.","Dropped by the lone wandering Troll Knight. Elden Ring Map Link.
Dropped by miniboss Night's Cavalry. Only appears at night. Elden Ring Map Link.",0
108,Storm Blade,http://eldenring.wiki.fextralife.com/file/Elden-Ring/storm_blade_gif_elden_ring_wiki_guide.gif,Regular,Can be used Swords (Colossal Weapons and Twinblades excepted),No,10 (-/6),Lost skill of Stormveil. Surround armament with shearing storm winds that can be fired forward. Can be fired in rapid succession.,"Dropped by Grave Warden in Murkwater Catacombs, Limgrave.
Sold by Knight Bernahl at the Warmaster's Shack for 1,800 . Elden Ring Map Link.
Can be purchased from Twin Maiden Husks at the Roundtable Hold after giving them Bernahl's Bell Bearing.",0
109,Storm Assault,http://eldenring.wiki.fextralife.com/file/Elden-Ring/storm_assault_gif_elden_ring_wiki_guide.gif,Regular,"Can be used on Polearms capable of thrusting, heavy thrusting swords, and Twinblades.",??,22,One of the skills that channel the tempests of Stormveil. Leap forward through surrounding storm winds and thrust armament downward. The attack will produce more storm winds at the point of impact.,Dropped by a Silver Teardrop Scarab in Stormveil Castle.,0
110,Stormcaller,http://eldenring.wiki.fextralife.com/file/Elden-Ring/stormcaller_gif_elden_ring_wiki_guide.gif,Regular,"Can be used on Swords capable of slashing, Axes, Hammers, and polearms (small and colossal weapons excepted).",??,9 (-/11),One of the skills that channel the tempests of Stormveil. Spin armament to create surrounding storm winds. Repeated inputs allow for up to two follow-up attacks.,"Dropped by a Teardrop Scarab in the northern section of the castle, past the courtyard and just before the Secluded Cell Site of Grace in Stormveil Castle. Elden Ring Map Link.",0
111,Storm Stomp,http://eldenring.wiki.fextralife.com/file/Elden-Ring/storm-stomp-skill-elden-ring-wiki-guide.jpg,Regular,All melee armaments.,No,6,One of the skills that channel the tempests of Stormveil. Stomp hard on the ground to kick up a momentary storm.,"Found in Stormveil Castle, at the very end of the accessible area before a barricade blocks further progress up the staircase guarded by ballistas with 3 soldiers at the top.
Found in the southeastern area of Gatefront Ruins. There is a set of stairs that leads to a small room underground where a treasure chest can be found. Inside the chest is the Ash of War: Storm Stomp and Whetstone Knife key item. Elden Ring Map Link.",0
112,Vacuum Slice,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-vacuum-slice-elden-ring-wiki-480px.gif,Regular,Can be used on Swords and Axes (small and colossal axes excepted).,No,18,"Lost skill of ancient heroes. Hold the armament aloft to surround it with a shearin vacuum, then launch it forwards as a blade-like projectile.","Default skill on the Gargoyle's Greatsword.
Inside the ruined temple surrounded by waterfalls in Deeproot Depths. Elden Ring Map Link.",0
113,Phantom Slash,http://eldenring.wiki.fextralife.com/file/Elden-Ring/phantom_slash_gif_elden_ring_wiki_guide.gif,Regular,Can be used on Polearms and Twinblades (Great Spears excepted).,No,8 (-/8),Skill inspired by the fond remembrances of the Night's Cavalry. Creates an apparition of the knights' former instructor who guides a joint lunging upward swing. Additional input allows for a follow-up attack.,Dropped by a Night's Cavalry northeast the Forbidden Lands Grace in the Forbidden Lands. Elden Ring Map Link.,0
114,Determination,http://eldenring.wiki.fextralife.com/file/Elden-Ring/determination_gif_elden_ring_wiki_guide.gif,Regular,Can be used on all melee armaments.,No,10,"Hold the flat of the armament to your face and pledge your resolve, powering up your next attack.",Dropped by a Teardrop Scarab on the path at the bridge north of Agheel Lake. Elden Ring Map Link.,0
115,Royal Knight's Resolve,http://eldenring.wiki.fextralife.com/file/Elden-Ring/royal_knight's_resolve_gif_elden_ring_wiki_guide.gif,Regular,Can be used on all melee armaments.,No,15,"Skill of the knights who once served the Elden Lord. Hold the flat of the armament to your face and pledge your resolve, greatly powering up your next attack.","Continue going through the Volcano Manor Legacy Dungeon until you see a chapel full of Lizards, you'll then see an Imp Statue Dungeon you can enter at the balcony. From there, you will have to jump down carefully until you reach the bottom. Then enter the room on the east side, then pillage the corpse to acquire the ash of war.",0
116,Glintstone Pebble,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-glintstone-pebble-elden-ring-wiki-480px.gif,Regular,Can be used on Swords and Polearms capable of thrusting (colossal weapons excepted).,No,8 (-/4),"Skill that employs the glintstone sorcery of the same name. Follow up with a strong attack to chain this skill into a lunging thrust, performed while the armament is still imbued with glintstone.","Sold by Sorcerer Rogier at Stormveil Castle or the Roundtable Hold for 1,500 .
Can be purchased from Twin Maiden Husks at the Roundtable Hold after giving them Rogier's Bell Bearing.",0
117,Glintblade Phalanx,http://eldenring.wiki.fextralife.com/file/Elden-Ring/gbp.gif,Regular,Usable on Swords as well as Polearms capable of thrusting (colossal weapons excepted),No,10 (-/4),"Skill used by the enchanted knights who served the Carian royal family. Form an arch of magic glintblades overhead, which will attack foes automatically. Follow up with a strong attack to chain this skill into a lunging thrust.","Acquired from Rogier's Rapier.
After defeating Godrick the Grafted in Stormveil Castle, Rogier can be found in Roundtable Hold, by the balcony. After speaking to him, and receiving his rapier, the skill may be removed from the rapier in order to be applied to other armaments.",0
118,Carian Greatsword Skill,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-carian-greatsword-elden-ring-wiki-480px.gif,Regular,Can be used on Swords (colossal weapons excepted),Yes,16,Carian royal prestige embodied in a skill. Transform blade into a magical greatsword and swing it down. Can be charged to increase its power.,"Sold by Sorcerer Rogier at Stormveil Castle or the Roundtable Hold for 2,500 .
Can be purchased from Twin Maiden Husks at the Roundtable Hold after giving them Rogier's Bell Bearing.",0
119,Carian Grandeur,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-carian-grandeur-elden-ring-wiki-480px.gif,Regular,Can be used on Swords (colossal weapons excepted).,Yes,26,Carian royal prestige embodied in a skill. Transform blade into magical greatsword and swing ti down. Can be charged to increase its power by up to two levels.,"Default skill on the Carian Knight's Sword.
Located within Caria Manor, high above a large stone structure. This is accessible by climbing down the cliffside graveyard from the manor's upper level.  Elden Ring Map Link.",0
120,Spinning Weapon,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-spinning-weapon-elden-ring-wiki-480px.gif,Regular,"Small and medium Swords, Axes, Hammers, Polearms, Staves (great spears excepted)",No,12,"Defensive skill employed by Carian princesses. Lifts armament into mid-air, then makes it spin violently. Those it touches will suffer successive attacks.","Default skill on the Carian Regal Scepter.
Sold by Sorcerer Rogier at Stormveil Castle or the Roundtable Hold for 1,000 .
Can be purchased from Twin Maiden Husks at the Roundtable Hold after giving them Rogier's Bell Bearing.",0
121,Loretta's Slash,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-lorettas-slash-elden-ring-wiki-480px.gif,Regular,Can be used on Polearms and Twinblades.,No,14,"Skill of Loretta the Royal Knight. Leap forward, imbuing the blade with glintstone, then descend, accelerating into a sweeping slash.",Dropped by Royal Knight Loretta upon defeat in Caria Manor. Elden Ring Map Link.,0
122,Waves of Darkness,http://eldenring.wiki.fextralife.com/file/Elden-Ring/waves_of_darkness_gif_elden_ring_wiki_guide.gif,Regular,"Can be used on Greataxes, Warhammers, and Colossal Weapons.",No,16 (-/5),Plunge armament into the ground to release three waves of darkness. Follow up with a strong attack to swing the armament in a sweeping strike.,Trade Remembrance of the Naturalborn with Enia at Roundtable Hold.,0
123,Gravitas,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-gravitas-elden-ring-wiki-480px.gif,Regular,Melee armaments that are not small.,No,13,"Skill originating from the Alabaster Lords, who had skin of stone. Thrust the armament into the ground to create a gravity well. In addition to dealing damage, this attack pulls enemies in.",Obtained in Limgrave by accessing the back entrance of the Cave of Knowledge from the beachside. Elden Ring Map Link.,0
124,Flaming Strike,http://eldenring.wiki.fextralife.com/file/Elden-Ring/flaming_strike.gif,Regular,Can be used on melee armaments (Colossal Weapons and Whips excepted).,No,4 (-/10),"Skill that emits flame in a wide frontward arc. Follow up with a strong attack to perform a lunging, sweeping strike. This will also coat the armament in fire.",Dropped by a Teardrop Scarab located in a small graveyard along the south cliffside behind Redmane Castle.,0
125,Flame of the Redmanes,http://eldenring.wiki.fextralife.com/file/Elden-Ring/flame_of_the_redmanes.gif,Regular,Can be used on all melee armaments.,No,14,"Skill of the Redmanes, who fought alongside General Radahn. Produce a powerful burst of flames in a wide frontward arc.",Dropped by an invisible Teardrop Scarab located in front of the Fort Gael North Site of Grace in Caelid. Elden Ring Map Link.,0
126,Eruption,http://eldenring.wiki.fextralife.com/file/Elden-Ring/eruption.gif,Regular,"Can be used on colossal Swords, Axes, and Hammers.",No,14,"Slam armament into the ground, spawning roiling lava which spouts up upon release.",Sold by Knight Bernahl in Volcano Manor for 8000 . Elden Ring Map Link.,0
127,Prelate's Charge,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-prelates-charge-elden-ring-wiki-480px.gif,Regular,Can be used on large and colossal axes and hammers.,Yes,7 (-/7),"Slam armament into the ground to create a surge of flames, then charge in. Hold to continue the charge","Default skill on the Prelate's Inferno Crozier.
A dung beetle hanging on a tree will drop this Ash of War. Located on a Fire Monk campsite located on the Forbidden Lands. South of Whiteridge Road's grace",0
128,Black Flame Tornado,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-black-flame-tornado-elden-ring-wiki-480px.gif,Regular,Can be used on Polearms and Twinblades.,Yes,30,Spin armament overhead and then plunge it into the ground to summon a raging vortex of black flames. Hold to create an initial flame tornado while spinning the armament.,"Default skill for the Godskin Peeler twinblade.
Dropped by the Godskin Duo in Crumbling Farum Azula. Elden Ring Map Link.",0
129,Thunderbolt,http://eldenring.wiki.fextralife.com/file/Elden-Ring/thunderbolt_gif_elden_ring_wiki_guide.gif,Regular,Can be used on all melee armaments.,??,10 (-/10),Skill used by the capital's ancient dragon cult. Raise armament aloft to call down a bolt of lightning. Can be fired in rapid succession.,"Dropped by a Teardrop Beetle in Leyndell, Royal Capital. Northwest of the avenue site.",0
130,Lightning Slash,http://eldenring.wiki.fextralife.com/file/Elden-Ring/lightning_slash_gif_elden_ring_wiki_guide.gif,Regular,"Can be used on Swords, Axes, and Hammers.",No,10,"Call down a bolt of lightning into armament, then swing it down to create an explosive shock. The armament retains the lightning enchantment for a while.",Dropped by a Teardrop Scarab in the middle of an enclosed area just outside the Capital Outskirts. Elden Ring Map Link.,0
131,Lightning Ram,http://eldenring.wiki.fextralife.com/file/Elden-Ring/lightning_ram_gif_elden_ring_wiki_guide.gif,Regular,Can be used on all melee armaments.,No,5 (-/5),"Skill inspired by tumbling rams. Let out a bleat, then tumble forwards, clad in lightning. Tumbles can be repeated in rapid succession.","It can be found at Altus Plateau, just south of Sainted Hero's Grave. It drops from a Teardrop Scarab in the area. Elden Ring Map Link.",0
132,Sacred Blade,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-sacred-blade-elden-ring-wiki-480px.gif,Regular,"All melee armaments (Whips, Fists, and Claws excepted).",No,19,Grants armament's attacks holy essence and fires off a golden blade projectile. The armament retains its holy essence for awhile.,"Innate skill of the Miquellan Knight's Sword and Inseparable Sword.
Dropped by a Teardrop Scarab North of Third Church of Marika. The location is next to an eye catching whirlwind. Elden Ring Map Link.",0
133,Prayerful Strike,http://eldenring.wiki.fextralife.com/file/Elden-Ring/prayerful_strike_gif_elden_ring_wiki_guide.gif,Regular,Can be used on Axes and Hammers.,No,20,"Raise armament aloft in prayer, then slam it into the ground. This inspired blow restores HP to the self and nearby allies if it successfully hits.","Under the short rocky tunnel on the lake next to the west entrance to Leyndell Royal Capital, dropped by killing the invisible mob that leaves shiny paw prints on its path.",0
134,Sacred Ring of Light,http://eldenring.wiki.fextralife.com/file/Elden-Ring/srol.gif,Regular,Usable on polearms (Great Spears excepted).,No,9 (-/9),"Skill used by the commanders of the Cleanrot Knights. Gather a sacred ring of light in the armament, and then fire it forwards. Can be fired in rapid succession.",Dropped by a Teardrop Scarab found in the Aeonian Swamps in Caelid. Elden Ring Map Link.,0
135,Sacred Order,http://eldenring.wiki.fextralife.com/file/Elden-Ring/sacred_order_gif.gif,Regular,Can be used on all melee armaments.,No,18,Skill of the Golden Order fundamentalist knights. Perform a salute and grant the armament holy essence. Highly effective against Those Who Live in Death.,"Default skill on the Treespear.
Dropped by a Teardrop Scarab in Altus Plateau, just north of the Site of Grace.",0
136,Shared Order,http://eldenring.wiki.fextralife.com/file/Elden-Ring/shared_order_gif_elden_ring_wiki_guide.gif,Regular,Can be used on all melee armaments.,No,20,Skill of the Golden Order fundamentalist knights. Grant the armament and those of nearby allies holy essence. Highly effective against Those Who Live in Death.,"Dropped by a Night's Cavalry in Altus Plateau, next to the Altus Highway Junction Site Of Grace.",0
137,Golden Land,http://eldenring.wiki.fextralife.com/file/Elden-Ring/golden_lands_gif_v2.gif,Regular,"Can be used on Greataxes, Warhammers, and Colossal Weapons.",??,16 (-/5),"Thrust armament into the ground, then gather strength to unleash a blast of sacred energy that coalesces into golden darts. Follow up with a strong attack to swing the armament in a sweeping strike.","Default skill on the Great Club.
Can be found in Deeproot Depths, from the Great Waterfall Crest site of grace, head straight ahead and to the left. There's a scarab that drops it. Fittingly, it is behind the Erdtree Avatar who drops the Staff of the Avatar. Elden Ring Map Link.",0
138,Golden Slam,http://eldenring.wiki.fextralife.com/file/Elden-Ring/golden_slam.gif,Regular,Can be used on all melee armaments.,No,22,Skill of the avatars who protect Minor Erdtrees. Jump up high into the air and crash down on the ground ahead. The resulting pratfall sends golden shockwaves in all directions.,"Gained by killing a Teardrop Scarab northwest of Woodfolk Ruins, near the Altus Plateau Erdtree. Elden Ring Map Link.",0
139,Golden Vow,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-golden-vow-elden-ring-wiki-480px.gif,Regular,Can be used on all melee armaments.,No,40,"Skill passed down from antiquity among the knights of the capital. Raise armament aloft and pledge to honor the Erdtree in battle, granting self and nearby allies increased attack power and defense.","Default skill on the Golden Halberd.
Dropped by Godrick Knight upon defeat in Limgrave. Elden Ring Map Link.",0
140,Vow of the Indomitable,http://eldenring.wiki.fextralife.com/file/Elden-Ring/vow_of_the_indomitable.gif,Regular,Can be used on all Shields.,No,20,"Skill of the ancient warriors of the Erdtree. Hold shield aloft to imbue yourself with golden power, granting momentary invincibility.","Liurnia of the Lakes: Dropped by a Teardrop Scarab, in the southwestern swampy area of the map. Elden Ring Map Link.",0
141,Holy Ground,http://eldenring.wiki.fextralife.com/file/Elden-Ring/holy_ground.gif,Regular,Can be used on all Shields.,No,30,Raise shield to create an Erdtree-consecrated area that continuously restores HP and boosts defense for self and allies inside it.,Together with Tree Sentinel Armor set inside Auriza Hero's Grave.,0
142,Poisonous Mist,http://eldenring.wiki.fextralife.com/file/Elden-Ring/poisonous_mist_gif_elden_ring_wiki_guide.gif,Regular,"Usable on certain melee armaments (Whips, Fists, and Claws excepted).",No,14,"Bathe armament in poison, and then slash, spreading toxic mist forwards. The armament retain its poison for a while.",Can be found in Aeonia Swamp in Caelid. Elden Ring Map Link.,0
143,Poison Moth Flight,http://eldenring.wiki.fextralife.com/file/Elden-Ring/poison_moth_flight_gif_elden_ring_wiki_guide.gif,Regular,Can be used on small and medium Swords (Twinblades excepted).,??,7,"Slash with a poison-infused blade. If thefollow-up strike lands on a poisoned foe, it will deal significant damage.",Dropped by Night's Cavalry on Caelid. Elden Ring Map Link.,0
144,Blood Blade,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-blood-blade-elden-ring-wiki-480px.gif,Regular,Can be used on small and medium Swords.,No,3 (-/3),"Wound self to coat the armament with blood, then unleash an airborne blood blade that causes hemorrhaging. Can be fired in rapid succession.","Dropped by a Teardrop Scarab in Altus Plateau, northeast of Erdtree-Gazing Hill, above a pond. Elden Ring Map Link.",0
145,Bloody Slash,http://eldenring.wiki.fextralife.com/file/Elden-Ring/bloody_slash.gif,Regular,Can be used on Swords (colossal weapons excepted).,No,6,"Blood Oath skill granted by the Lord of Blood. From a low stance, coat the blade in your own blood to unleash a rending blood slash in a wide arc.",Dropped by a Godrick Knight fought at the top of the ramparts of Fort Haight. Elden Ring Map Link.,0
146,Blood Tax,http://eldenring.wiki.fextralife.com/file/Elden-Ring/bloody_tax.gif,Regular,Can be used on armaments capable of thrusting (Colossal Weapons excepted).,No,14,"Blood Oath skill granted by the Lord of Blood. Twist to build power, then unleash a flurry of thrusts that rob the target of both their blood and their HP","Found in the Mohgwyn Dynasty area in a small cave, at the eastern edge of the blood lake with four blood Albinaurics that appear after killing the beetle.",0
147,Seppuku,http://eldenring.wiki.fextralife.com/file/Elden-Ring/sepukku_gif_elden_ring_wiki_guide.gif,Regular,Can be used on Swords as well as polearms capable of thrusting (small and colossal weapons excepted).,No,4,A forbidden technique used by swordsmen from the Land of Reeds. Plunge the blade into your stomach to stain it with blood. Increases attack power and improves ability to inflict blood loss.,"On the frozen lake next to the ""Freezing Lake"" site of grace, dropped by an invisible scarab. Scarab can be heard on the edge of the lake. Stand on his trail and wait for it to come back around and greet it with attacks.",0
148,Ice Spear,http://eldenring.wiki.fextralife.com/file/Elden-Ring/ice_spear_gif_elden_ring_wiki_guide.gif,Regular,Can be used on Polearms capable of thrusting and Twinblades.,No,15,"Skill of the warriors who served Lunar Princess Ranni. Spin armament to release cold magic, then channel it into a piercing spear of ice.","Ash of War dropped by a Night's Cavalry boss in eastern Liurnia, patrolling near the broken Gate Town Bridge. Only appears at night time. Elden Ring Map Link.",0
149,Chilling Mist,http://eldenring.wiki.fextralife.com/file/Elden-Ring/chilling_mist.gif,Regular,"Can be used on melee armaments (Whips, Fists, and Claws excepted).",No,14,"Coat armament in frost, and then slash, spreading frigid mist forwards. The armament retains its frost for a while.",Can be found in the Three Sisters sub-region. Dropped by a Teardrop Scarab in the ruins south of Renna's Rise. Elden Ring Map Link.,0
150,Hoarfrost Stomp,http://eldenring.wiki.fextralife.com/file/Elden-Ring/ezgif-5-e5e9250e98.gif,Regular,Can be used on all melee armaments.,No,10,Stomp hard to spread a trail of freezing mist on the ground. The mist applies the frost status effect.,Dropped by an invisible Teardrop Scarab found roaming the shallow body of water southeast of Caria Manor. Look for its glowing footprints and attack as they move towards you. Elden Ring Map Link.,0
151,Spectral Lance,http://eldenring.wiki.fextralife.com/file/Elden-Ring/spectral_lance_gif_elden_ring_wiki_guide.gif,Regular,Can be used on Polearms (reapers excepted).,No,9,Skill of the headless Mausoleum Knights. Hurl a phantasmic spear at foes.,Dropped by a Teardrop Scarab located at Raya Lucaria Academy.,0
152,Lifesteal Fist,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-lifesteal-fist-elden-ring-wiki-480px.gif,Regular,Can be used on Fists and Claws.,No,14,"Skill that demonstrates mastery of the art of controlling vital energies.A slow, controlled punch with an energy-infused fist that renders foes unconscious and steals their HP. Only effective against foes of human build.",Dropped by a Teardrop Scarab along the Caelid Highway. Elden Ring Map Link.,0
