id,name,image,region,items,npcs,creatures,bosses,description,dlc
42,Lamenter's Gaol,http://eldenring.wiki.fextralife.com/file/Elden-Ring/lamenters-gaol-sote-location-elden-ring-wiki-guide-300px.jpg,Charo's Hidden Grave,"[""Lamenter's Mask"", 'Call of Tibia', 'Innard Meat', 'Prattling Pate Lamentation', 'Broken Rune', 'Frozen Maggot', 'Living Jar Shard', 'Hefty Cracked Pot', 'Chilling Perfume Bottle', 'Clarifying Horn Charm +2', 'Lamenting Visage', 'Gaol Upper Level Key', 'Gaol Lower Level Key']",,"['Giant Rat', 'Living Jar', 'Jar Innards', 'Messmer Foot Soldier']",['Lamenter'],"A large Underground cave system, infested with foes.",1
43,Foot of the Jagged Peak,http://eldenring.wiki.fextralife.com/file/Elden-Ring/jagged-peak.png,Jagged Peak,"['Dragon Heart', 'Dragonscale Flesh']",,,['Jagged Peak Drake'],At the foot of Jagged Peak.,1
44,Grand Altar of Dragon Communion,http://eldenring.wiki.fextralife.com/file/Elden-Ring/grand-altar-of-dragon-communion-sote-location-elden-ring-wiki-guide-300px.jpg,Jagged Peak,"[""Ancient Dragon's Blessing"", 'Priestess Heart', 'Flowerstone Gavel', 'Ghostflame Breath']",['Dragon Communion Priestess'],,,"An alter in front of a giant Dragon's body, in Southern Shore area.",1
45,Abandoned Church,http://eldenring.wiki.fextralife.com/file/Elden-Ring/abandoned-church-sote-location-elden-ring-wiki-guide-300px.jpg,Abyssal Woods,"['Scadutree Fragment', 'Frenzyflame Perfume Bottle']",,['Giant Rat'],,An crumbling church hidden deep in the Abyssal Woods.,1
46,Midra's Manse,http://eldenring.wiki.fextralife.com/file/Monster-Hunter-World/thumbnails/mhws.png,Legacy Dungeons,"['Golden Horn Tender', 'Shadow Realm Rune (6)', 'Shadow Realm Rune (7)', 'Surging Frenzied Flame', ""Nanaya's Torch"", 'Swollen Grape', 'Thin Beast Bones', 'Revered Spirit Ash', 'Horned Warrior Set', 'Silver Horn Tender', 'Winter-Lantern Fly', 'Golden Horn Tender', 'Torn Diary Page', ""Mad Craftsman's Cookbook (3)"", 'Remembrance of the Lord of Frenzied Flame']",,"['Inquisitor', 'Giant Rat', 'Horned Warrior', 'Shadow Undead']","['Midra, Lord of Frenzied Flame']",,1
47,Finger Ruins of Rhia,http://eldenring.wiki.fextralife.com/file/Elden-Ring/finger-ruins-of-rhia-sote-location-elden-ring-wiki-guide-300px.jpg,Finger Ruins of Rhia,"['Golden Rune (1)', 'Nailstone', 'Finger Mimic', 'Crimson Seed Talisman +1']",,['Fingercreeper'],,Large stone fingers erect at the basin in the Southern Shore region.,1
48,Albinauric's Shack,http://eldenring.wiki.fextralife.com/file/Elden-Ring/albinaurics-shack-sote-location-elden-ring-wiki-guide-300px.jpg,Scaduview,"['Albinauric Bloodclot', 'Sharpshot Talisman', ""Gaius's Greaves""]",,['Albinauric Wolfback Archer'],,A small ruined shack in Scadu Altus.,1
49,Finger Ruins of Dheo,http://eldenring.wiki.fextralife.com/file/Elden-Ring/finger-ruins-of-dheo-sote-location-elden-ring-wiki-guide-300px.jpg,Scaduview,"['Cerulean Seed Talisman +1', 'Fingercreeper Ashes', 'Map Link']",,"['Fingercreepers', 'Lesser Fingercreepers', 'Colossal Fingercreepers']",,"Large stone fingers erect on a peninsula in Scaduview, often shrouded in yellow mist.",1
50,Scadutree Chalice,http://eldenring.wiki.fextralife.com/file/Elden-Ring/scadutree-chalice-sote-location-elden-ring-wiki-guide-300px.jpg,Scaduview,"['x6 Blessed Bone Shard', 'Golden Rune (1)', 'Scadutree Fragment']",,,,A giant chalice supported by roots in Scadu Altus.,1
51,Shaman Village,http://eldenring.wiki.fextralife.com/file/Elden-Ring/shaman-village-sote-location-elden-ring-wiki-guide-300px.jpg,Scaduview,"['Minor Erdtree', 'Golden Braid']",,,['Tree Sentinel'],A small and peaceful village on Scaduview.,1
52,Roundtable Hold,http://eldenring.wiki.fextralife.com/file/Elden-Ring/roundtable-hold-hub-location-preview-elden-ring-wiki-guide-300px-min.jpeg,Main Hub,"['weapon', ""Baldachin's Blessing"", ""Crepus's Black-Key Crossbow"", ""Assassin's Prayerbook"", 'Cipher Pata', ""Taunter's Tongue"", 'Prayer Gesture', 'What Do You Want? Gesture', 'Curtsy Gesture', 'Reverential Bow Gesture']","['Gideon Ofnir', 'Corhyn', 'Diallos', 'Roderika', 'D, Hunter of the Dead', 'Smithing Master\xa0Hewg', 'Fia', 'Nepheli Loux', 'Sorcerer Rogier', 'Enia', 'Ensha', 'Twin Maiden Husks', 'Dung Eater']",,"['Mad Tongue Alberich', 'Ensha']","The bustling hub area that exists outside of the Lands Between. A place to mingle with other adventurerers, craftsmen, resupply and discover a trove of blessings and rooms of secrets.",0
53,Artist's Shack (Limgrave),http://eldenring.wiki.fextralife.com/file/Elden-Ring/view-artists-shack-limgrave-01-elden-ring-wiki-600px.jpg,Limgrave,"['Erdleaf Flower', 'Gold-Tinged Excrement', 'Mushroom', 'Rowa Fruit', 'Smithing Stone [1]', 'Homing Instinct Painting']",,['Springhare'],,A small cabin in Limgrave. Its strongly perceived tranquility seems overshadowed by oblivion.,0
54,Bridge of Sacrifice,http://eldenring.wiki.fextralife.com/file/Elden-Ring/bridge-of-sacrifice-location-elden-ring-wiki-guide.jpg,Limgrave,"['Smoldering Butterfly', 'Rowa Fruit', 'Erdleaf Flower', 'Herba', 'Smithing Stone (1)', 'Bolt', ""Lordsworn's Bolt"", 'Stonesword Key', ""Irina's Letter""]",['Irina'],"['Soldier', 'Godrick Soldier']",,"A busy bridge swarming with iron-clad foes. Be prepared to engage in an array of melee, ranged and artillery attacks or attempt to push past them.",0
55,Chapel of Anticipation,http://eldenring.wiki.fextralife.com/file/Elden-Ring/chapel-of-anticipation-location-elden-ring-wiki-guide.jpg,Limgrave,"['Golden Beast Crest Shield', 'Ornamental Straight Sword', 'Gesture', ""Tarnished's Wizened Finger"", 'Stormhawk Deenh', 'The Stormhawk King']",,,['Grafted Scion'],"The area where the start of a great adventure takes place, but not before getting ambushed by a difficult enemy.",0
56,Church of Dragon Communion,http://eldenring.wiki.fextralife.com/file/Elden-Ring/church-of-dragon-communion-2-location-elden-ring-wiki-guide.jpg,Limgrave,"['Herba', 'Mushroom', 'Rowa Fruit', 'Exalted Flesh', 'Great Dragonfly Head', 'Somber Smithing Stone (1)', 'Smithing Stone (2)', 'Dragonclaw', 'Dragonfire', 'Dragonmaw']",,"['Guillemot', 'Spirit Jellyfish', 'Sheep', 'Springhare', 'Turtle']",,The dilapidated remains of a church where many consume the hearts of Dragons in order to perform communion.,0
57,Church of Elleh,http://eldenring.wiki.fextralife.com/file/Elden-Ring/church-of-elleh-location-elden-ring-wiki-guide.jpg,Limgrave,"['Rowa Fruit', 'Erdleaf Flower', 'Smithing Stone [1]', 'Merchant Kale', 'Spirit Calling Bell', 'Lone Wolf Ashes']","['Renna', 'Merchant Kalé']",,['Tree Sentinel'],"Church of Elleh is a ruined building that hides a Site of Grace. The rooftop has caved in and offers no protection from the elements, and weeds are overtaking the walls, but this doesn't stop merchants from seeking what little shelter is on offer.",0
58,Coastal Cave,http://eldenring.wiki.fextralife.com/file/Elden-Ring/dissenters-cave-location-elden-ring-wiki-guide.jpg,Limgrave,"['Cave Moss', 'Silver Firefly', 'Land Octopus Ovary', 'Smoldering Butterfly', 'Sewing Needle', 'Tailoring Tools']","['Boc', 'Nomadic Merchant West Limgrave']",['Demi-Human'],['Demi-Human Chief'],"Coastal Cave is a dark opening on the side of a cliff. Its mossy depths are overrun by hostile humanoid creatures, but those who brave it may find passage to new lands.",0
59,Deathtouched Catacombs,http://eldenring.wiki.fextralife.com/file/Elden-Ring/deathtouched_catacombs_location_elden_ring_wiki_guide_300x.jpg,Limgrave,"['Bloodrose', 'Grave Violet', 'Grave Glovewort (1)', ""Assassin's Crimson Dagger"", 'Uchigatana', 'Deathroot']",,['Skeleton'],['Black Knife Assassin'],"Catacombs filled with the stench of death, Skeletons dwell in the shadows.",0
60,Divine Tower of Limgrave,http://eldenring.wiki.fextralife.com/file/Elden-Ring/limgrave_divine_tower_locations_elden_ring_wiki_300px.jpg,Limgrave,"['Stormhawk Feather', 'Flight Pinion', 'Silver-Pickled Fowl Foot', 'Soft Cotton', 'Boltdrake Talisman', 'Golem Greatbow', ""Golem's Halberd"", 'Ash-of-War Scarab', ""Godrick's Great Rune""]",,"['Golem', 'Eagles']",,Closed with a giant set of doors. It looks like you need some pieces to interact with the tower.,0
61,Dragon-Burnt Ruins,http://eldenring.wiki.fextralife.com/file/Elden-Ring/dragon-burnt-ruins-location-elden-ring-wiki-guide.jpg,Limgrave,"['Mushroom', 'Crab Eggs', 'Arteria Leaf', 'Poisonbloom', 'Golden Rune [1]', 'Golden Rune [2]', 'Great Dragonfly Head', 'Rowa Fruit', 'Twinblade', 'Dragon Heart', 'Stonesword Key']",['Yura'],"['Giant Bat', 'Rat', 'Giant Rat', 'Dog', 'Rotten Stray', 'Wandering Nobles', 'Land Squirt', 'Giant Crab', 'Giant Dragonfly']",['Flying Dragon Agheel'],"Dragon-Burnt Ruins are what remains of the housing area among Agheel Lake, long lost to the deadly attacks of the fierce Agheel Dragon",0
62,Forlorn Hound Evergaol,http://eldenring.wiki.fextralife.com/file/Elden-Ring/forlorn-hound-evergaol-location-elden-ring-wiki-guide.jpg,Limgrave,"[""Bloodhound's Fang""]",['Blaidd'],['Abnormal Stone Cluster'],['Bloodhound Knight Darriwil'],"The southern gaol of Limgrave holds a lone knight, who had abandoned his master, now forced to rot inside his cell.",0
63,Fort Haight,http://eldenring.wiki.fextralife.com/file/Elden-Ring/fort-haight-location-elden-ring-wiki-guide-300px-min.jpeg,Limgrave,"['Golden Seed', 'Bloodrose', 'Smoldering Butterfly', 'Smithing Stone (1)', 'Chainlink Flail', 'Pumpkin Helm', 'Partisan', 'Godrick Knight Helm', 'Godrick Knight Armor', 'Godrick Knight Gauntlets', 'Godrick Knight Greaves', 'Erdsteel Dagger', ""Nomadic Warrior's Cookbook (6)"", 'Ash of War: Bloody Slash', 'Dectus Medallion (Left)']",['Kenneth Haight'],"['Giant Rat', 'Godrick Knight', 'Lesser Mad Pumpkin Head']",,"The overrun fort of Kenneth Haith, the alleged next ruler of Limgrave.",0
64,Fringefolk Hero's Grave,http://eldenring.wiki.fextralife.com/file/Elden-Ring/fringefolk-heros-grave-elden-ring-wiki-600px-min.jpeg,Limgrave,"['Golden Seed', 'Lightning Grease', 'Dragonwound Grease', 'Dragon Communion Seal', 'Erdtree Greatbow', ""Erdtree's Favor"", 'Banished Knight Oleg Ashes', 'Stonesword Key']",,"['Chariot', 'Exile Soldier', 'Imp']","['Ulcerated Tree Spirit', 'Grafted Scion']",Fringefolk Hero's Grave is a dark and secluded location within the Cave of Knowledge. The confused and aimless dwell within.,0
65,Gatefront Ruins,http://eldenring.wiki.fextralife.com/file/Elden-Ring/gatefront-ruins-300.jpg,Limgrave,"['Herba', 'Rowa Fruit', 'Erdleaf Flower', 'Flail', 'Partisan', 'Godrick Knight Set', ""Lordsworn's Greatsword"", 'Gilded Greatshield', 'Map (Limgrave, West)', 'Ash of War: Storm Stomp', 'Whetstone Knife']",,"['Wolf', 'Wandering Nobles', 'Godrick Soldier', 'Godrick Knight']",['Tree Sentinel'],"Gatefront Ruins is what remains of the now destroyed barracks near the fortification. Despite its poor state, it is a heavily guarded location by those loyal to Stormveil.",0
66,Groveside Cave,http://eldenring.wiki.fextralife.com/file/Elden-Ring/groveside-cave-location-elden-ring-wiki-guide.jpg,Limgrave,"['Cave Moss', 'Glowstone', 'Silver Firefly', 'Mushroom', 'Flamedrake Talisman', 'Cracked Pot']",,['Wolf'],['Beastman of Farum Azula'],"Groveside Cave is a small refuge for wildlife in Limgrave. Its proximity to water and ease of access make it a sought-after shelter against bad weather, but those who venture in don't seem to return.",0
67,Highroad Cave,http://eldenring.wiki.fextralife.com/file/Elden-Ring/highroad-cave-location-elden-ring-wiki-guide.jpg,Limgrave,"['Cave Moss', 'Silver Firefly', 'Fire Grease', 'Arteria Leaf', ' Golden Rune (1)', 'Golden Rune (4)', 'Smithing Stone (1)', 'Smithing Stone (2)', 'Shamshir', 'Blue Dancer Charm', 'Furlcalling Finger Remedy']",['NPCs'],"['Wolf', 'Giant Bat', 'Land Octopus', 'Giant Land Octopus']",['Guardian Golem'],"A cave that houses a tomb, deep within. It is situated at the northmost part of Limgrave. It has been inhabited by a pack of Wolves, Land Octopuses, and Giant Bats.",0
68,Limgrave Tunnels,http://eldenring.wiki.fextralife.com/file/Elden-Ring/limgrave-tunnels-location-elden-ring-wiki-guide.jpg,Limgrave,"['Glintstone Scrap', 'Large Glintstone Scrap', 'Golden Rune (1)', 'Golden Rune (4)', 'Smithing Stone (1)', 'Somber Smithing Stone (1)', 'Roar Medallion']",,"['Giant Rat', 'Miner', 'Rotten Stray']",['Stonedigger Troll'],"A deep tunnel used by many to mine smithing stones. Its zealous miners never dare to venture into its hidden chambers, for fear of the great Troll within.",0
69,Minor Erdtree (Mistwood),http://eldenring.wiki.fextralife.com/file/Elden-Ring/view-minor-erdtree-mistwood-01-elden-ring-wiki-600px.jpg,Limgrave,"['Tarnished Golden Sunflower', 'Rowa Fruit', 'Ash of War: Ground Slam', 'Greenspill Crystal Tear', 'Spiked Cracked Tear']",,['Teardrop Scarab'],,Easily distiguished from the rest of the trees in Mistwood Forest.,0
70,Mistwood,http://eldenring.wiki.fextralife.com/file/Elden-Ring/mistwood-location-elden-ring-wiki-300px-min-min-min.jpeg,Limgrave,"['Bloodrose', 'Crab Eggs', 'Gold-Tinged Excrement', 'Land Octopus Ovary', 'Miranda Powder', 'Poisonbloom', 'Rowa Fruit', 'Sacrificial Twig', 'Strip of White Flesh', 'Tarnished Golden Sunflower', 'Thin Beast Bones', ""Trina's Lily"", 'Golden Seed', 'Greenspill Crystal Tear', 'Smithing Stone (1)', 'Smithing Stone (2)', 'Spiked Cracked Tear', 'Axe Talisman', 'Chainlink Flail', 'Erdsteel Dagger', ""Armorer's Cookbook (3)"", 'Ash of War: Bloody Slash', 'Ash of War: Ground Slam', 'Dectus Medallion (Left)', ""Nomadic Warrior's Cookbook (4)"", ""Nomadic Warrior's Cookbook (5)"", ""Nomadic Warrior's Cookbook (6)""]","['Kenneth Haight', 'Nomadic Merchant', 'Blaidd']","['Bear', 'Demi-Human', 'Giant Miranda Sprout', 'Giant Rat', 'Godrick Knight', 'Godrick Soldier', 'Lesser Mad Pumpkin Head', 'Lesser Runebear', 'Lone Wolf', 'Miranda Sprout', 'Skeletal Militiamen', 'Skeleton Mage', 'Soldier', 'Troll']","['Tibia Mariner', 'Ancestor Spirit', 'Dragonkin Soldier']","Mistwood Map & FragmentsSites of Grace & Sub-LocationsAll NPCs & MerchantsAll Items, Equipment & MagicAll Enemies & Bosses",0
71,Mistwood Ruins,http://eldenring.wiki.fextralife.com/file/Elden-Ring/mistwood-ruins-locations-elden-ring-wiki-guide-300px.jpg,Limgrave,"['Smithing Stone [2]', 'Axe Talisman']",,['Lesser Runebear'],,"Concealed by the thriving growth of vegetation, these ruins are kept out of sight by the veil of nature itself. But there's more to it than what you see.",0
72,Murkwater Catacombs,http://eldenring.wiki.fextralife.com/file/Elden-Ring/murkwater-catacombs-location-elden-ring-wiki-guide.jpg,Limgrave,"['Root Resin', 'Grave Glovewort (1)', 'Ghost Glovewort (1)', 'Banished Knight Engvall Ashes']",['Root Resin'],['Cat Imp'],['Grave Warden Duelist'],"An underground cemetery that is located at the north-east side of Agheel Lake in Limgrave. Once a place for peaceful rest for fallen heroes, it is now infested by goblins.",0
73,Murkwater Cave,http://eldenring.wiki.fextralife.com/file/Elden-Ring/murkwater_cave_locations_elden_ring_wiki_guide_300x.jpg,Limgrave,"['Cave Moss', 'Mushroom', 'Golden Rune (1)', 'Cloth Garb', 'Cloth Trousers', 'Gesture', 'Gesture']",['Patches'],['Highwayman'],['Patches'],A dark cave halfway through the Murkwater River,0
74,Siofra River Well,http://eldenring.wiki.fextralife.com/file/Elden-Ring/siofra-river-well-limgrave-location-elden-ring-wiki-300px-min-min-min.jpeg,Limgrave,"['Melted Mushroom', 'Rainbow Stone', 'Immunizing Cured Meat', 'Dewkissed Herba', 'Budding Horn', 'Silver Firefly', 'Beast Liver', 'Preserving Boluses', 'Crab Eggs', 'Gold-Pickled Fowl Foot', 'Smithing Stone (4)', 'Ghost Glovewort (1)', ""Clayman's Harpoon"", 'Golden Centipede', 'Soap', 'Furlcalling Finger Remedy', 'Map: Siofra River', 'Golden Rune (4)', ""Armorer's Cookbook (6)""]",,"['Clayman', 'Teardrop Scarab', 'Giant Crab', 'Giant Miranda Sprout', 'Miranda Sprout']",['Ancestor Spirit'],"A mystical underground region filled with its own set of skies and stars. Beware, it is teeming with creatures big and small alike.",0
75,Starfall Crater,http://eldenring.wiki.fextralife.com/file/Elden-Ring/view-starfall-crater-01-elden-ring-wiki-600px.jpg,Limgrave,,,,,A crater formed by the falling star upon the defeat of conqueror of the stars.,0
76,Stormfoot Catacombs,http://eldenring.wiki.fextralife.com/file/Elden-Ring/stormfoot-catacombs-location-elden-ring-wiki-guide.jpg,Limgrave,"['Root Resin', 'Grave Violet', 'Smoldering Butterfly', 'Grave Glovewort [1]', 'Ghost Glovewort [1]', 'Prattling Pate Hello', 'Wandering Noble Ashes', 'Noble Sorcerer Ashes']","['Root Resin', 'Grave Violet', 'Smoldering Butterfly']",['Fanged Imp'],['Erdtree Burial Watchdog'],"Stormfoot Catacombs are meant to be a restful place for the deceased, and are protected by the imps and their Watchdog.",0
77,Stormgate,http://eldenring.wiki.fextralife.com/file/Elden-Ring/stormgate-location-elden-ring-wiki-guide.jpg,Limgrave,"['Herba', 'Mushroom', 'Rowa Fruit', 'Ruin Fragment', 'Pickled Turtle Neck', 'Golden Rune [1]', 'Lump of Flesh', ""Lordsworn's Bolt"", 'Smithing Stone (1)', ""Arrow's Reach Talisman"", ""Lordsworn's Greatsword""]",,"['Troll', 'Soldier', 'Teardrop Scarab', 'Wandering Nobles']",,The Stormgate is a heavily guarded area that marks the border within Limgrave and Stormhill. Only the foolhardy would rush such against such odds,0
78,Stormhill,http://eldenring.wiki.fextralife.com/file/Elden-Ring/stormhill-location-elden-ring-wiki-guide.jpg,Limgrave,"['Ruin Fragment', 'Golden Seed', 'Slumbering Egg', 'Starlight Shards', 'Fulgurbloom', 'Golden Rune (1)', 'Rowa Fruit', 'Erdleaf Flower', 'Herba', 'Smithing Stone (1)', 'Golden Rune (1)', 'Aspects of the Crucible: Tail', 'Kaiden Helm', 'Stonesword Key', ""Armorer's Cookbook [1]""]","['Iron Fist Alexander', 'Knight Bernahl', 'Roderika']","['Abnormal Stone Cluster', 'Boar', 'Eagle', 'Godrick Soldier', 'Godrick Knight', 'Golem', 'Lone Wolf', 'Owl', 'Sheep', 'Skeleton', 'Soldier', 'Springhare', 'Troll', 'Wild Mouflon']","['Bell Bearing Hunter', 'Margit, the Fell Omen']","Stormhill Map & FragmentsSites of Grace & Sub-LocationsAll NPCs & MerchantsAll Items, Equipment & MagicAll Enemies & Bosses",0
79,Stormhill Evergaol,http://eldenring.wiki.fextralife.com/file/Elden-Ring/forlorn-hound-evergaol-location-elden-ring-wiki-guide.jpg,Limgrave,"['Golden Rune (1)', 'Aspects of the Crucible: Tail']",,,['Crucible Knight'],The Brave and Foolish alike dare venture into the Stormhill Evergaol and face its relentless knight in battle.,0
80,Stormhill Shack,http://eldenring.wiki.fextralife.com/file/Elden-Ring/scavangers-shack-location-elden-ring-wiki-guide.jpg,Limgrave,"['Rowa Fruit', 'Golden Seed', 'Stonesword Key', 'Spirit Jellyfish Ashes']",['Roderika'],,,The Stormhill Shack is a dilapidated shelter formerly used to house hunters in the area. A Site of Grace offers a needed moment of rest for those traveling nearby,0
81,Stormveil Castle,http://eldenring.wiki.fextralife.com/file/Elden-Ring/stormveil_elden_ring_wiki_guide_300px.jpg,Legacy Dungeons,"['Curved Sword Talisman', 'Boltdrake Talisman', 'Claw Talisman', ""Prince of Death's Pustule"", 'Bolt', 'Kukri', 'Arrow', 'Golden Rune (1)', 'Golden Rune (2)', 'Golden Rune (4)', 'Golden Rune (5)', 'Fire Grease', 'Magic Grease', 'Stanching Boluses', 'Furlcalling Finger Remedy', 'Golden Seed', 'Gold-Pickled Fowl Foot', 'Silver-Pickled Fowl Foot', 'Grace Mimic', 'Marred Leather Shield', 'Brick Hammer', 'Hookclaws', 'Throwing Dagger', ""St. Trina's Arrow"", 'Ballista Bolt', 'Hawk Crest Wooden Shield', 'Misericorde', 'Highland Axe', 'Pike', 'Wooden Greatshield', ""Godslayer's Seal"", 'Manor Towershield', 'Arbalest', ""Commoner's Simple Garb"", 'Rancorcall', 'Aspect of the Crucible: Horns', 'Ash of War: Stormcaller', 'Ash of War: Storm Assault', 'Poisonbloom', 'Herba', 'Mushroom', ""Trina's Lily"", 'Arteria Leaf', 'Lump of Flesh', 'Ruin Fragment', 'Beast Blood', 'Old Fang', 'Pickled Turtle Neck', 'Smithing Stone (1)', 'Smithing Stone (2)', 'Smithing Stone (3)', 'Smoldering Butterfly', 'Somber Smithing Stone (1)', 'Somber Smithing Stone (2)', 'Runes', ""Banished Knight's Halberd"", ""Banished Knight's Greatsword"", 'Banished Knight Set', ""Commoner's Shoes"", ""Commoner's Garb"", ""Commoner's Headband (Altered)"", 'Exile Armor', 'Exile Greaves', 'Flight Pinion', 'Stormhawk Feather', 'Crescent Moon Axe', ""Warhawk's Talon"", 'Torchpole', 'Omen Cleaver', 'Rusty Key', 'Iron Whetblade', 'Stonesword Key', ""Chrysalids' Memento"", 'Dozing Cross-Legged', 'Prophecy Painting', ""Mimic's Veil"", ""Godrick's Great Rune"", 'Remembrance of the Grafted', 'Shabriri Grape', 'Godskin Prayerbook', 'Festering Bloody Finger', ""Nomadic Warrior's Cookbook [10]""]","['Gatekeeper Gostoc', 'Sorcerer Rogier', 'Nepheli Loux', 'Kenneth Haight']","['Exile Soldier', 'Troll', 'Omen', 'Living Jar', 'Commoner', 'Rotten Stray', 'Banished Knight', 'Warhawk']","['Grafted Scion', 'Lion Guardian', 'Ulcerated Tree Spirit', 'Godrick the Grafted']",Players entering Stormveil Castle should beware that it's a challenging dungeon with groups of numerous enemies with traps and ballistas as well as mini-bosses.,0
82,Stranded Graveyard,http://eldenring.wiki.fextralife.com/file/Elden-Ring/fringefolk-heros-grave-300.jpg,Limgrave,"['Rowa Fruit', 'Haligdrake Talisman', 'Flask of Crimson Tears', 'Flask of Cerulean Tears', 'Finger Severer', ""Tarnished's Furled Finger"", 'Gesture']",['Commoner'],"['Wandering Nobles', 'Soldier of Godrick']",['Soldier of Godrick'],Stranded Graveyard is a dark and secluded location within the Cave of Knowledge. The confused and aimless dwell within.,0
83,Summonwater Village,http://eldenring.wiki.fextralife.com/file/Elden-Ring/summonwater-village-limgrave-location-elden-ring-wiki-guide-300px-min-min.jpeg,Limgrave,"['Mushroom', ""Trina's Lily"", 'Smithing Stone (1)', 'Green Turtle Talisman']",['D Hunter of the Dead'],"['Giant Dragonfly', 'Turtle']",['Tibia Mariner'],"D, Hunter of The Dead, warns you of this nearby village taken over by death, known as Summonwater Village",0
84,Third Church of Marika,http://eldenring.wiki.fextralife.com/file/Elden-Ring/third_church_of_marika_locations_elden_ring_wiki_300px.jpg,Limgrave,"['Sacred Tear ', 'Flask of Wondrous Physick', 'Crimson Crystal Tear']",['Melina'],"['Wolf', 'Eagle']",,The Ruins of an Old Church found in the Mistwood. The most prominent sight here is a statue of a lady with her arms outstretched.,0
85,Warmaster's Shack,http://eldenring.wiki.fextralife.com/file/Elden-Ring/warmasters_shack_locations_elden_ring_wiki_guide.jpg,Limgrave,"['Herba', 'Ash of War: Stamp (Upward Cut)', 'Ash of War: Kick', 'Ash of War: Endure', 'Ash of War: War Cry', 'Ash of War: Spinning Slash', 'Ash of War: Impaling Thrust', 'Ash of War: Quickstep', 'Ash of War: Storm Blade', 'Ash of War: Parry', 'Ash of War: No Skill']","['Knight Bernahl', 'Bell Bearing Hunter']",,['Bell Bearing Hunter'],Small shack in a remote area near north-central Stormhill.,0
86,Waypoint Ruins,http://eldenring.wiki.fextralife.com/file/Elden-Ring/waypoint-ruins-limgrave-location-elden-ring-wiki-guide-300px-min-min-min.jpeg,Limgrave,"['Rowa Fruit', 'Mushroom', 'Ruin Fragment', 'Immunizing Cured Meat', 'Glowstone', ""Trina's Lily"", 'Golden Rune [1]']",['Sorceress Sellen'],"['Miranda Sprout', 'Giant Miranda Sprout']",['Mad Pumpkin Head'],"Waypoint Ruins consists of a group of broken buildings and abandoned campsites, now overrun with Miranda sprouts and their crazed caretaker.",0
87,Ailing Village,http://eldenring.wiki.fextralife.com/file/Elden-Ring/ailing-village-location-elden-ring-wiki-guide-300px-min-min.jpeg,Weeping Peninsula,"['Arteria Leaf', 'Rowa Fruit', 'Eye of Yelough', 'Erdleaf Flower', 'Golden Rune (1)', 'Mushroom', 'Sacred Tear', 'Flame Crest Wooden Shield', 'The Flame of Frenzy']",,"['Frenzied Villager', 'Giant Rat', 'Lesser Alabaster Lord']",,"A small, abandoned village nestled within a forested area north of the Castle Morne Rampart. This village is host to long-dilapidated dwellings, inhabited only by maddened fanatics gripped by the Flame of Frenzy.",0
88,Bridge of Sacrifice,http://eldenring.wiki.fextralife.com/file/Elden-Ring/bridge-of-sacrifice-location-elden-ring-wiki-guide.jpg,Weeping Peninsula,"['Smoldering Butterfly', 'Rowa Fruit', 'Erdleaf Flower', 'Herba', 'Smithing Stone (1)', 'Bolt', ""Lordsworn's Bolt"", 'Stonesword Key', ""Irina's Letter""]",['Irina'],"['Soldier', 'Godrick Soldier']",,"A busy bridge swarming with iron-clad foes. Be prepared to engage in an array of melee, ranged and artillery attacks or attempt to push past them.",0
89,Callu Baptismal Church,http://eldenring.wiki.fextralife.com/file/Elden-Ring/callu_baptismal_church-location-elden-ring-wiki-guide-300px-min-min.jpeg,Weeping Peninsula,"['Eye of Yelough', 'Rowa Fruit', 'Erdleaf Flower', 'Sacred Tear', 'The Flame of Frenzy']",,"['Rat', 'Giant Rat', 'Frenzied Villager']",,"A dilapidated church, presumably frequented by the former residents of Ailing Village. Now it lies in ruin, its congregation replaced by a family of mutant vermin feasting on the remains of unfortunate travelers.",0
90,Castle Morne,http://eldenring.wiki.fextralife.com/file/Elden-Ring/castle-mourne-locationpreview-elden-ring-wiki-guide-300px-min.jpeg,Weeping Peninsula,"['Fire Grease', 'Fire Grease', 'Pickled Turtle Neck', 'Throwing Dagger', 'Rune Arc', 'Smoldering Butterfly', 'Smoldering Butterfly', 'Tarnished Golden Sunflower', 'Sanctuary Stone', 'Thin Beast Bones', 'Golden Rune (2)', 'Golden Rune (2)', 'Golden Rune (1)', 'Smithing Stone (1)', 'Smithing Stone (1)', 'Smithing Stone (2)', 'Claymore', 'Claymore', 'Grafted Blade Greatsword', 'Steel-Wire Torch', 'Whip', 'Iron Cleaver', 'Bolt', 'Bolt', ""Lordsworn's Bolt"", 'Pumpkin Helm', 'Pumpkin Helm', 'Sacrificial Twig', 'Sacrificial Twig', 'Twinblade Talisman', 'Stonesword Key', 'Stonesword Key', 'Furlcalling Finger Remedy', 'Furlcalling Finger Remedy']",['Edgar'],"['Giant Rat', 'Soldier', 'Rotten Stray', 'Misbegotten', 'Skeletal Slime', 'Spirit Jellyfish', 'Godrick Soldier', 'Lesser Mad Pumpkin Head']",['Leonine Misbegotten'],"I've escaped from Castle Morne, to the south. The servants there...have rebelled. Irina",0
