id,name,effect,weight,value,description,dlc,image
67,Rellana's Cameo,Effect Enhances attacks executed after maintaining the same stance for a while,0.8,500,"Talisman featuring a gallant portrait of Rellana, the Twin Moon Knight. Enhances attacks executed after maintaining the same stance for a certain length of time. Engraved as a reminder of the unparalleled devotion of those who left their homelands to serve Rellana. ""By your leave, we will accompany you wherever your lunar vessel takes you.""",1,https://eldenring.wiki.fextralife.com//file/Elden-Ring/rellanas_cameo_talisman_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png
68,Blade of Mercy,Effect Raises attack power by 20% for 20 seconds after each critical hit,0.3,500,"A thin, blood-stained dagger. No longer fit for use. Raises attack power after each critical hit. Hornsent employed this to honorably end the suffering of a compatriot. After claiming numerous lives, the dagger is now broken, but has acquired a spectral aura.",1,https://eldenring.wiki.fextralife.com//file/Elden-Ring/blade_of_mercy_talisman_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png
69,Talisman of All Crucibles,Effect Grants effects of all crucible talismans,0.3,???,"A giant mass of intermingling Crucible attributes. Reduces damage taken from critical hits and head shots and improves the effectiveness of rolling and backstepping, but also increases damage taken at all times. Rumored to have sprouted upon giants and is known as the ""mother of Crucibles"" in ancient tower lore.",1,https://eldenring.wiki.fextralife.com//file/Elden-Ring/talisman_of_all_crucibles_talisman_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png
70,Blessed Dew Talisman,Effect Restores 2 HP/sec,0.6,1000,"Talisman depicting a drop of the Erdtree's sap, a blessed boon. Gradually restores HP. It was once thought that the blessed sap of the Erdtree would drip from its boughs forever -- but that age of plenty swiftly came to a close, and with time, the Erdtree became more an object of faith.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/blessed_dew_talisman_talisman_elden_ring_wiki_guide_200px.png
71,Green Turtle Talisman,Effect Raises Stamina recovery speed by 8 per second (17.7%),0.7,500,"A talisman in the shape of a green turtle.Raises stamina recovery speed. Turtles are known as a nutritious ingredient, symbolic of inexhaustible power. However, those who hold turtles to be wise creatures consider the practice of eating their meat to be barbarous.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/green_turtle_talisman_talisman_elden_ring_wiki_guide_200px.png
72,Arsenal Charm,Effect Raises maximum Equip Load by 15%,1.5,100,"An iron charm that resembles a mass of weaponry. Boosts maximum equipment load. This talisman was derived from an unusual greatsword, once wielded by a hero hungry for vengeance.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/arsenal_charm_talisman_elden_ring_wiki_guide_200px.png
73,Arsenal Charm +1 Variant,Effect Raises maximum Equip Load by 17%,1.5,500,"An iron charm that resembles a mass of weaponry. Boosts maximum equipment load. This talisman was derived from an unusual greatsword, once wielded by a hero hungry for vengeance.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/arsenal_charm_talisman_elden_ring_wiki_guide_200px.png
74,Great-Jar's Arsenal,"Effect Vastly raises maximum Equip Load, by 19%",1.5,1000,A charm that resembles a great jar overflowing with weaponry.Vastly boosts maximum equipment load. The great jar grants this talisman to their warriors. Carry as much as you can — grow big and strong.,0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/great-jars_arsenal_talisman_elden_ring_wiki_guide_200px.png
75,Radagon's Scarseal,"Effect Raises Vigor, Endurance, Strength, and Dexterity by 3, but increases damage taken by 10%",0.8,3000,"An eye engraved with an Elden Rune.Said to be the seal of King Consort Radagon. Raises vigor, endurance, strength, and dexterity, but also increases damage taken. These seals represent the lifelong duty of those chosen by the gods.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/radagons_scarseal_talisman_elden_ring_wiki_guide_200px.png
76,Radagon's Soreseal,"Effect Raises Vigor, Endurance, Strength, and Dexterity by 5 each, but increases damage taken by 15%",0.8,3000,"This legendary talisman is an eye engraved with an Elden Rune, said to be the seal of King Consort Radagon. Greatly raises vigor, endurance, strength, dexterity, but also increases damage taken by a similar measure. Solemn duty weighs upon the one beholden; not unlike a gnawing curse from which there is no deliverance.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/radagons_ soreseal_talisman_elden_ring_wiki_guide_200px.png
77,Marika's Scarseal,"Effect Raises Mind, Intelligence, Faith, and Arcane by 3, but increases damage taken by 10%",0.8,3000,"An eye engraved with an Elden Rune.Said to be the seal of Queen Marika. Raises mind, intelligence, faith, arcane, but also increases damage taken. These seals represent the lifelong duty of those chosen by the gods.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/marikas_scarseal_talisman_elden_ring_wiki_guide_200px.png
78,Marika's Soreseal,"Effect Raises Mind, Intelligence, Faith, and Arcane by 5 each, but increases damage taken by 15%",0.8,3000,"This legendary talisman is an eye engraved with an Elden Rune, said to be the seal of Queen Marika. Greatly raises mind, intelligence, faith, and arcane, but also increases damage taken by a similar measure. Solemn duty weighs upon the one beholden; not unlike a gnawing curse from which there is no deliverance.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/marika's_soreseal_talismans_elden_ring_wiki_200px.png
79,Starscourge Heirloom,Effect Raises Strength by 5,0.8,1000,"A talisman engraved with a scene from a heroic tale.Raises strength. The mightiest hero of the demigods confronted the falling stars alone—and thus did he crush them, his conquest sealing the very fate of the stars.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/starscourge_heirloom_talisman_elden_ring_wiki_guide_200px.png
80,Prosthesis-Wearer Heirloom,Effect Raises Dexterity by 5,0.8,1000,"A talisman engraved with a scene from a heroic tale.Raises dexterity. Though born into the accursed rot, when the young girl encountered her mentor and his flowing blade, she gained wings of unparalleled strength.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/prosthesis-wearer_heriloom_talisman_elden_ring_wiki_guide_200px.png
81,Stargazer Heirloom,Effect Raises Intelligence by 5,0.6,1000,"A talisman engraved with the legend of a queen.Raises intelligence. The young astrologer gazed at the night sky as she walked. She had always chased the stars every step of her journey. Then she met the full moon — and, in time, the astrologer became a queen.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/stargazer_heirloom_talisman_elden_ring_wiki_guide_200px.png
82,Two Fingers Heirloom,Effect Raises Faith by 5,0.6,1000,"A talisman engraved with the legend of the Two Fingers.Raises faith. Fingers cannot speak, yet these are eloquent.Persistently they wriggle, spelling out mysteries in the air.Thus did we gain the words. The words of our faith.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/two_fingers_heirloom_talisman_elden_ring_wiki_guide_200px.png
83,Dragoncrest Shield Talisman,Effect Reduces Physical Damage taken 10%,0.8,100,"Wrought iron talisman depicting a trio of ancient dragons.Boosts physical damage negation. The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock.And so it is that the shape of the dragon has become symbolic of all manner of protections.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/dragoncrest_shield_talisman_talisman_elden_ring_wiki_guide_200px.png
84,Dragoncrest Shield Talisman +1 Variant,Effect Reduces Physical Damage taken 13%,0.8,500,"Wrought iron talisman depicting a trio of ancient dragons.Boosts physical damage negation. The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock.And so it is that the shape of the dragon has become symbolic of all manner of protections.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/dragoncrest_shield_talisman_talisman_elden_ring_wiki_guide_200px.png
85,Dragoncrest Shield Talisman +2 Variant,Effect Reduces Physical Damage taken 17%,0.8,1000,"Wrought iron talisman depicting a trio of ancient dragons.Boosts physical damage negation. The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock.And so it is that the shape of the dragon has become symbolic of all manner of protections.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/dragoncrest_shield_talisman_talisman_elden_ring_wiki_guide_200px.png
86,Dragoncrest Greatshield Talisman,Effect Enormously reduces Physical Damage taken by 20%.,0.8,2000,"Legendary talisman of wrought iron depicting a massive ancient dragon.Enormously boosts physical damage negation. The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock.And so it is that the shape of the dragon has become symbolic of all manner of protections.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/dragoncrest_greatshield_talisman_talisman_elden_ring_wiki_guide_200px.png
87,Haligdrake Talisman,Effect Reduces Holy Damage taken by 13%,0.6,100,"Talisman depicting a golden ancient dragon.Boosts holy damage negation. The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock.And so it is that the shape of the dragon has become symbolic of all manner of protections.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/haligdrake_talisman_talisman_elden_ring_wiki_guide_200px.png
88,Haligdrake Talisman +1 Variant,Effect Reduces Holy Damage taken by 17%,0.6,500,"Talisman depicting a golden ancient dragon.Boosts holy damage negation. The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock.And so it is that the shape of the dragon has become symbolic of all manner of protections.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/haligdrake_talisman_talisman_elden_ring_wiki_guide_200px.png
89,Haligdrake Talisman +2 Variant,Effect Reduces Holy Damage taken by 20%,0.6,1000,"Talisman depicting a golden ancient dragon.Boosts holy damage negation. The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock.And so it is that the shape of the dragon has become symbolic of all manner of protections.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/haligdrake_talisman_talisman_elden_ring_wiki_guide_200px.png
90,Prince of Death's Pustule,Effect Raises Vitality by 90,0.6,500,"A fetid pustule taken from facial flesh.Raises vitality.(Vitality governs resistance to the effects of Death.) It is said that this pustule came from the visage of the Prince of Death, he who used to be called Godwyn. As First Dead of the demigods, it's said he's buried deep under the capital, at the Erdtree's roots.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/prince_of_deaths_pustule_talisman_elden_ring_wiki_guide_200px.png
91,Prince of Death's Cyst,"Effect Greatly raises Vitality, by 140",0.6,1000,"A fetid, overgrown cyst taken from facial flesh.Greatly raises vitality.(Vitality governs resistance to the effects of Death.) It is said that this cyst came from the corrupted visage of one unable to die a true Death. Indeed, it comes from the Prince of Death, scion of the golden bough and First of the Dead among the demigods.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/prince_of_deaths_cyst_talisman_elden_ring_wiki_guide_200px.png
92,Dagger Talisman,Effect Increases Critical Damage by 17%,1.1,500,A talisman depicting a dagger and a surgeon.Enhances critical hits. The white-garbed field surgeons come to the aid of friend and foe alike by dealing a final deadly thrust to spare them from the prolonged agony of a mortal wound. A sense of mercy is a catalyst for bloodlust.,0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/dagger_talisman_talisman_elden_ring_wiki_guide_200px.png
93,Curved Sword Talisman,Effect Increases guard counter damage by 20%,0.7,500,A talisman depicting a curved sword and a swordsman.Enhances guard counters. It is said that a blind swordsman was the originator of this technique — the art of allowing one's opponent to strike so as to leave them vulnerable to a well-timed reply.,0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/curved_sword_talisman_talisman_elden_ring_wiki_guide_200px.png
94,Twinblade Talisman,Effect Increases damage of final hit in attack chain by 45%,0.7,500,"A talisman depicting a twinblade and a confessor.Enhances the final hit ending a chain of attacks. The twinblade technique is a tradition of the confessors, who closely guard the secret of how they preserve the momentum of their attacks. Thus is the final strike of their onslaught all the more deadly.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/twinblade_talisman_talisman_elden_ring_wiki_guide_200px.png
95,Axe Talisman,Effect Increases Charge Attack damage by 10%,0.8,500,"A talisman depicting an axe and a warrior.Enhances charge attacks. The Lord who led the Long March bore an axe, and his loyal warriors honored him by wielding axes of their own, making them very effective at dealing decisive blows.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/axe_talisman_talisman_elden_ring_wiki_guide_200px.png
96,Hammer Talisman,Effect Increases Stamina damage against blocking enemies by 40%,0.9,500,"A talisman depicting a hammer and a knight.Enhances stamina-reducing attacks against a blocking opponent. Hammers are highly effective against shield-bearing foes, so much so that they are known as ""knight-killers.""",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/hammer_talisman_talisman_elden_ring_wiki_guide_200px.png
97,Spear Talisman,Effect Increases thrusting weapon counterattack damage by 15%,0.5,500,A talisman depicting a spear and a soldier. Enhances the counterattacks that are unique to thrusting weapons. Spears are standard weapons for soldiers in the Lands Between. They made it possible to respond to a ferocious foe with an equally ferocious counterattack.,0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/spear_talisman_talisman_elden_ring_wiki_guide_200px.png
98,Lance Talisman,Effect Increases damage of attacks while on horseback by 15%,0.7,500,"A talisman depicting a lance and a knight.Enhances attacks while on horseback. Knights on horseback are deadly foes. They see all below from their lofty position, meeting little meaningful resistance as they charge ahead.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/lance_talisman_elden_ring_wiki_guide_200px.png
99,Claw Talisman,Effect Increases jump attack damage by 15% (7.5% in PvP),0.7,500,A talisman depicting a claw and an assassin.Enhances jump attacks. The assassins of Ravenmount are killers by trade. They assail their victims while dressed as birds of prey.,0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/claw_talisman_talisman_elden_ring_wiki_guide_200px.png
100,Greatshield Talisman,Effect Reduces stamina damage taken while blocking by 20%,0.9,500,"Talisman depicting a knight holding a greatshield.Boosts guarding ability. The knights of Leyndell once modelled themselves after the Tree Sentinels. Their purpose is to protect that which deserves protection, and thus the shield always comes before the sword.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/greatshield_talisman_talisman_elden_ring_wiki_guide_200px.png
101,Arrow's Sting Talisman,Effect Raises attack power of Arrows/Bolts by 10%,0.7,500,A talisman depicting three iron arrows.Carried by soldiers long ago. Raises attack power of arrows and bolts.,0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/arrows_sting_talisman_talisman_elden_ring_wiki_guide_200px.png
102,Arrow's Reach Talisman,Effect Increases range of various projectiles,0.7,500,A talisman depicting three arrows.Carried by hunters of beasts. Increases the effective range of bows.,0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/arrows_reach_talisman_talisman_elden_ring_wiki_guide_200px.png
103,Graven-School Talisman,Effect Raises potency of Sorceries by 4%,0.7,1000,"A talisman depicting a school of graven mages, the nightmare of the academy. Raises potency of sorceries. The primeval current is a forbidden tradition of glintstone sorcery. To those who cleave to its teachings, the act of collecting sorcerers to fashion them into the seeds of stars is but another path of scientific inquiry.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/graven-school_talisman_talisman_elden_ring_wiki_guide_200px.png
104,Graven-Mass Talisman,Effect Greatly raises potency of Sorceries by 8%,1.0,2000,"A talisman depicting the first school of graven mages — a nightmare that would continue to haunt the academy. Greatly raises potency of sorceries. The primeval current is a forbidden tradition of glintstone sorcery. To those who cleave to its teachings, the act of collecting sorcerers to fashion them into the seeds of stars is but another path of scientific inquiry.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/graven-mass_talisman_talisman_elden_ring_wiki_guide_200px.png
105,Faithful's Canvas Talisman,Effect Raises potency of Incantations by 4%,0.7,1000,"A talisman bearing an icon that depicts a group of masked figures.Raises potency of incantations. The figures represent the flock at prayer, their firm belief in the intangible inspiring even the solitary founder of their religion. What is faith if not an affirmation?",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/faithfuls_canvas_talisman_talisman_elden_ring_wiki_guide_200px.png
106,Flock's Canvas Talisman,Effect Greatly raises potency of incantations (8%),1.0,2000,"A talisman bearing an icon that depicts a mass of masked figures.Greatly raises potency of incantations. The figures represent the flock at prayer, their firm belief in the intangible inspiring even the solitary founder of their religion. What is faith if not an affirmation?",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/flocks_canvas_talisman_talisman_elden_ring_wiki_guide_200px.png
107,Primal Glintstone Blade,Effect Reduces Spell FP costs by 25% but reduces maximum HP by 15%,0.6,2000,"An old glintstone blade that has been stained with blood. Reduces FP consumption of sorceries and incantations at the cost of maximum HP. The old sorcerers would slice open their hearts with these blades to imbue a primal glintstone with their soul, and thus did they die.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/primal_glintstone_blade_talisman_elden_ring_wiki_guide_200px.png
108,Moon of Nokstella,Effect Increases Memory Slots by 2,0.8,2000,"This legendary talisman is a treasure of Nokstella, the Eternal City. Increases memory slots. This talisman represents the lost black moon.The moon of Nokstella was the guide of countless stars.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/moon_of_nokstella_talisman_elden_ring_wiki_guide_200px.png
109,Old Lord's Talisman,Effect Extends the duration of Spells by 30%,0.5,1000,A legendary talisman depicting the ancient king whose seat lies at the heart of the storm beyond time. Extends the duration of sorceries and incantations. It is said that the ancient royal city of Farum Azula has been slowly crumbling since time immemorial.,0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/old_lords_talisman_talisman_elden_ring_wiki_guide_200px.png
110,Radagon Icon,Effect Shortens the casting time of Spells,0.7,1000,"A legendary talisman depicting the Elden Lord Radagon.Shortens the casting time of sorceries and incantations. As the husband of Rennala of Caria, the red-haired Radagon studied sorcery, and as the husband of Queen Marika, he studied incantations. Thus did the hero aspire to be complete.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/radagon_icon_talisman_elden_ring_wiki_guide_200px.png
111,Roar Medallion,Effect Increases the damage of roars and breath attacks by 15%,0.7,500,"A bronze medallion depicting a roaring giant.Enhances roars and breath attacks. In ancient times, the giants were mortal enemies of the Erdtree. Their bellowing roars desolated nature, triggered avalanches, and whipped up storms of flame.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/roar_medallion_talisman_elden_ring_wiki_guide_200px.png
112,Companion Jar,Effect Raises potency of Throwing Pots by 20%,0.6,500,"A talisman given by the jars to their friends.Raises potency of thrown jars. Though the jars are brought to life by human flesh and blood, they are all rather kindly folk. Perhaps they were made to be better than their innards.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/companion_jar_talisman_elden_ring_wiki_guide_200px.png
113,Perfumer's Talisman,Effect Raises potency of Arts employing Perfume by 20%,0.6,500,"A talisman depicting a set of perfume bottles.Raises potency of arts employing perfume. There are gardens known only to the perfumers. Whether hidden on the fringes of the highlands, or obscured by shadows inside caves, the flowers blossom in secret, waiting to impart their scent.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/perfumers_talisman_talisman_elden_ring_wiki_guide_200px.png
114,Carian Filigreed Crest,Effect Lowers FP cost of Skills by 25%,0.8,1000,"A talisman adorned with the royal crest. Lowers FP consumed by skills. An honor said to have once been awarded to Carian knights who served as direct retainers to the kingdom's princesses. Now there is only one princess: Ranni, daughter of Rennala.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/carian_filigreed_crest_talisman_elden_ring_wiki_guide_200px.png
115,Warrior Jar Shard,Effect Boosts the attack power of Skills by 10%,0.9,500,"Shard of a shattered warrior jar. Boosts the attack power of skills. Scraps of stewed flesh cling to the shard, and tatters of ornaments can be seen mingled within the slime. Relics of ancient royal warriors, perhaps.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/warrior_jar_shard_talisman_elden_ring_wiki_guide_200px.png
116,Shard of Alexander,Effect Greatly boosts the attack power of Skills by 15%,0.9,1000,"Shard of the late Alexander, a shattered warrior jar. Greatly boosts the attack power of skills. Scraps of stewed flesh cling to the shard, and tatters of ornaments can be seen mingled within the slime. Relics of a red-haired champion, it would seem.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/shard_of_alexander_talisman_elden_ring_wiki_guide_200px.png
117,Godfrey Icon,Effect Raises attack power of charged Spells and Skills by 15%,0.8,1000,"A legendary talisman depicting the Elden Lord Godfrey.Raises charge attack power of sorceries, incantations, and skills. Godfrey was a ferocious warrior. When he vowed to become a lord, he took the Beast Regent Serosh upon on his back to suppress the ceaseless lust for battle that raged within.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/godfrey_icon_talisman_elden_ring_wiki_guide_200px.png
118,Bull-Goat's Talisman,Effect Raises Poise by 33%,0.5,1000,"A talisman depicting the horns of a bull-goat.Raises poise. Bull-goats are associated with the stout and mighty Tragoth, said to be unflinching in combat - now a silent comrade to those who fight.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/bull-goats_talisman_talisman_elden_ring_wiki_guide_200px.png
119,Blue Dancer Charm,Effect Raises Physical Damage with lower Equip Weight,0.9,500,"A cloth doll depicting a dancer garbed in blue.An ancient heirloom of some sort. Raises attack power with lower equipment load. The dancer in blue represents a fairy, who in legend bestowed a flowing sword upon a blind swordsman. Blade in hand, theswordsman sealed away an ancient god — a god that was Rot itself.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/blue_dancer_charm_talisman_elden_ring_wiki_guide_200px.png
120,Magic Scorpion Charm,"Effect Increases Magic Damage by 12%, but increases Physical Damage taken by 10%",0.8,500,"A talisman carried by assassins who strike unseen.Patterned on a scorpion freshly shed of its exoskeleton, its claws seizing a heart that shimmers with magic. Raises magic attack power, but lowers damage negation.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/magic_scorpion_charm_talisman_elden_ring_wiki_guide_200px.png
121,Fire Scorpion Charm,"Effect Increases Fire Damage by 12%, but increases Physical Damage taken by 10%",0.8,500,"A talisman carried by assassins who strike unseen.Patterned on a scorpion freshly shed of its exoskeleton, its claws seizing a heart that burns with fire. Raises fire attack power, but lowers damage negation.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/fire_scorpion_charm_talisman_elden_ring_wiki_guide_200px.png
122,Lightning Scorpion Charm,"Effect Increases Lightning Damage by 12%, but increases Physical Damage taken by 10%",0.8,500,"A talisman carried by assassins who strike unseen.Patterned on a scorpion freshly shed of its exoskeleton, its claws seizing a heart that sparks with lightning. Raises lightning attack power, but lowers damage negation.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/lightning_scorpion_charm_talisman_elden_ring_wiki_guide_200px.png
123,Sacred Scorpion Charm,"Effect Increases Holy Damage by 12%, but increases Physical Damage taken by 10%",0.8,500,"A talisman carried by assassins who strike unseen.Patterned on a scorpion freshly shed of its exoskeleton, its claws seizing a heart with a blessed glow. Raises holy attack power, but lowers damage negation.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/sacred_scorpion_charm_talisman_elden_ring_wiki_guide_200px.png
124,Crucible Scale Talisman,Effect Reduces Critical Damage taken by 30%,1.1,500,"A talisman fashioned from a scale that embodies the aspects of various creatures.Said to have grown on the human body long ago. Reduces damage taken from critical hits. A vestige of the crucible of primordial life. Born partially of devolution, it was considered a signifier of the divine in ancient times, but is now increasingly disdained as an impurity as civilization has advanced.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/crucible_scale_talisman_talisman_elden_ring_wiki_guide_200px.png
125,Crucible Feather Talisman,Effect Improves dodge rolling but increases damage taken,0.8,1000,"A talisman fashioned from feathers that embody the aspects of various creatures.Said to have grown on the human body long ago. Improves the effectiveness of dodge rolls, but increases damage taken at all times. A vestige of the crucible of primordial life. Born partially of devolution, it was considered a signifier of the divine in ancient times, but is now increasingly disdained as an impurity as civilization has advanced.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/crucible_feather_talisman_talisman_elden_ring_wiki_guide_200px.png
126,Crucible Knot Talisman,Effect Eliminates headshot bonus damage and stagger on self,0.5,500,"A talisman fashioned from a bony knot that embodies that aspects of various creatures.Said to have grown on the human body long ago. Reduces damage and impact of headshots taken. A vestige of the crucible of primordial life. Born partially of devolution,it was considered a signifier of the divine in ancient times, but is now increasingly disdained as an impurity as civilization has advanced.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/crucible_knot_talisman_talisman_elden_ring_wiki_guide_200px.png
127,Red-Feathered Branchsword,Effect Raises attack power by 20% when HP is below 20%,1.4,500,"A talisman adorned with red feathers, once used in ancient death rituals.Raises attack power when HP is low. The heart sings when one draws close to death, and a glorious end awaits those who cling so tenaciously to life.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/red-feathered_branchsword_talisman_elden_ring_wiki_guide_200px.png
128,Blue-Feathered Branchsword,Effect Reduces damage taken by 50% when HP is below 20%,1.1,500,"A talisman adorned with blue feathers, once used in ancient death rituals.Raises defense when HP is low. The heart sings when one draws close to death, and thus does one cling so tenaciously to life - to render up a death worth offering.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/blue-feathered_branchsword_talisman_elden_ring_wiki_guide_200px.png
129,Ritual Sword Talisman,Effect Raises attack power by 10% when HP is at maximum,0.9,500,"A talisman patterned after swords used in ritual combat held to honor the Erdtree. Raises attack power when HP is at maximum. The practice had died out by the age of King Consort Radagon, but remains of the arenas where ritual combat took place can still be found in every land.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/ritual_sword_talisman_talisman_elden_ring_wiki_guide_200px.png
130,Ritual Shield Talisman,Effect Reduces damage taken by 30% when HP is at maximum,0.9,500,"A talisman patterned after shields used in ritual combat held to honor the Erdtree. Raises defense when HP is at maximum. The practice had died out by the age of King Consort Radagon, but remains of the arenas where ritual combat took place can still be found in every land.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/ritual_shield_talisman_talisman_elden_ring_wiki_guide_200px.png
131,Assassin's Crimson Dagger,Effect Critical attacks restore 10% + 85 HP,0.8,1500,"An assassin's dagger, misshapen and stained in crimson.Critical hits restore HP. This charm is modelled after the darkly gleaming blades used in the Night of Black Knives. Those which gave the demigods their first taste of death.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/assassins_crimson_dagger_talisman_elden_ring_wiki_guide_200px.png
132,Assassin's Cerulean Dagger,Effect Critical attacks restore 15 FP,0.8,1500,"An assassin's dagger, misshapen and stained in cerulean.Critical hits restore FP. This charm is modelled after the darkly gleaming blades used in the Night of Black Knives. Those which gave the demigods their first taste of death.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/assassins_cerulean_dagger_talisman_elden_ring_wiki_guide_200px.png
133,Winged Sword Insignia,"Effect Raises attack power with successive attacks (3%,5%,10%)",1.4,500,"A talisman depicting a raised prosthetic blade.An honor bestowed upon the knights who fought alongside Malenia the Severed. Raises attack power with successive attacks. The wings symbolize Malenia and her undefeated prowess. Though she never knew relief from the accursed rot she was born into, her blade was forever beautiful - and relentless.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/winged_sword_insignia_talisman_elden_ring_wiki_guide_200px.png
134,Rotten Winged Sword Insignia,"Effect Greatly raises attack power with successive attacks (6%,8%,13%)",1.4,500,"A talisman depicting a raised prosthetic blade. An honor bestowed upon the valkyries who serve the goddess of rot. Greatly raises attack power with successive attacks. The Four sisters were born in the swamp of Aeonia, and came to the Haligtree under the aegis of Gowry. And yet, those buds were doomed to never blossom.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/rotten_winged_sword_insignia_talisman_elden_ring_wiki_guide_200px.png
135,Millicent's Prosthesis,"Effect Boosts dexterity (+5), raises attack power with successive attacks (4%,6%, 11%)",1.6,1000,"Part of the golden prosthesis used by Millicent.The hand is locked into a fist that once raised a sword aloft. Boosts dexterity and raises attack power with successive attacks. The despair of sweet betrayal transformed Millicent from a mere bud into a magnificent flower. And one day, she will be reborn - as a beautiful scarlet valkyrie.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/millicents_prosthesis_talisman_elden_ring_wiki_guide_200px.png
136,Godskin Swaddling Cloth,Effect Successive attacks restore 30 + 3% HP,0.9,1000,"Sacred cloth of the Godskin Apostles, made from supple skin sewn together. Successive attacks restore HP. The Gloam-Eyed Queen cradles newborn apostles swaddled in this cloth. Soon they will grow to become the death of the gods.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/godskin_swaddling_cloth_talisman_elden_ring_wiki_guide_200px.png
