id,name,image,description,effect,FP,slot,INT,FAI,ARC,stamina cost,bonus,location,dlc
52,Lucidity,http://eldenring.wiki.fextralife.com/file/Elden-Ring/lucidity_sorcery_elden_ring_wiki_guide_200px.png,One of the sorceries of the Carian royal family. Alleviates buildup of sleep and madness. This sorcery can be cast while in motion. The Carian knights never waver.,Alleviates buildup of sleep and madness,10,1,17,0,0,10,Carian,Dropped by Preceptor Miriam in the secret area of the Carian Study Hall unlocked using the Carian Inverted Statue. Map Link,0
53,Magic Downpour,http://eldenring.wiki.fextralife.com/file/Elden-Ring/magic_downpour_sorcery_elden_ring_wiki_guide_200px.png,One of the sorceries of the Carian royal family. Summons a mass of magic that fires projectiles over a wide area.This sorcery can be cast while in motion. Charging extendsduration. Said to have been taught by the Crystalians to mark the swearingof the old concord. NOTE:,Summon a magic mass that sprays projectiles over area,18,1,15,0,0,17,Carian,Dropped by Preceptor Miriam in the Carian Study Hall.,0
54,Magic Glintblade,http://eldenring.wiki.fextralife.com/file/Elden-Ring/magic_glintblade_sorcery_elden_ring_wiki_guide_200px.png,"An old sorcery of the Carian Royal Family. Creates a sigil overhead, from which an enemy-seeking glintblade appears after a brief delay. This sorcery can be used while in motion. Charging increases the delay. Said to be the prototype of the sword-phalanx sorceries wielded by royal enchanted knights. is Note:",Creates sigil that forms a projectile glintblade after delay,12,1,14,0,0,22,Carian,"Starting Equipment for the Prisoner ClassCan be purchased from Miriel, Pastor of Vows at the Church of Vows for 3,000 Runes.",0
55,Magma Shot,http://eldenring.wiki.fextralife.com/file/Elden-Ring/magma_shot_sorcery_elden_ring_wiki_guide_200px.png,"One of the sorceries developed from the magma of Mt. Gelmir. Fires a lump of magma that explodes on contact. Charging enhances potency. After discovering the ancient hexes of Gelmir, Rykard, son of Queen Rennala, brought them back into practical use as new forms of sorcery. NOTE:",Fires lump of magma that explodes on contact,16,1,19,10,0,21,Magma,Rewarded by Tanith for completing Volcano Manor's first assassination quest. Map Link.,0
56,Meteorite,http://eldenring.wiki.fextralife.com/file/Elden-Ring/meteorite_sorcery_elden_ring_wiki_guide_200px.png,"One of the glintstone sorceries that manipulates gravitational forces. Summons a void that emits a rain of small meteorites.Hold to continue the effect. The sorcery originates from the Onyx Lords, who had skin of stone, and were called lords in reverential fear of their destructive power.",Calls small meteors down from the sky,30 (10),1,30,0,0,35,Gravity,Royal Grave Evergaol: Dropped by the Alabaster Lord upon defeat.,0
57,Meteorite of Astel,http://eldenring.wiki.fextralife.com/file/Elden-Ring/meteorite_of_astel_sorcery_elden_ring_wiki_guide_200px.png,One of the glintstone sorceries that manipulates gravitational forces. Summons a void that emits a hail of meteorites. Hold to continue the effect. A manifestation of the power with which Astel leveled the Eternal City.,Calls a hail of small meteorites from the void.,60 (12),2,55,0,0,40,Gravity,"Yelough Anix Tunnel: Dropped by the Astel, Stars of Darkness upon defeat.",0
58,Night Comet,http://eldenring.wiki.fextralife.com/file/Elden-Ring/night_comet_sorcery_elden_ring_wiki_guide_200px.png,"One of the night sorceries of Sellia, Town of Sorcery. Fires a semi-invisible magic comet.This sorcery can be cast repeatedly and while in motion. Charging enhances potency. The Sellian sorcerers were assassins, and it is said that they often hunted their fellows.",Fires a semi-invisible magic comet,21,1,38,0,0,30,Night,"Found in Sellia, Town of Sorcery: Found in a chest in the central section of town. This location is initially sealed by a barrier that can be dispelled by lighting a brazier atop a tower in the southwest of town.",0
59,Night Maiden's Mist,http://eldenring.wiki.fextralife.com/file/Elden-Ring/night_maidens_mist_sorcery_elden_ring_wiki_guide_200px.png,"One of the night sorceries of Sellia, Town of Sorcery. Releases a life-sapping silver mist before the caster, dealingdamage to all caught within, including the caster.This sorcery can be cast while in motion. Below Sellia, the Eternal City of Nokron sleeps. This sorceryoriginates from the maiden of that place.",Releases life-sapping silver mist before caster,20,1,14,0,0,20,Night,"Can be purchased from Gowry for 5,000 Runes after completing his quest line.",0
60,Night Shard,http://eldenring.wiki.fextralife.com/file/Elden-Ring/night_shard_icon-sorcery_elden_ring_wiki_guide_200px.png,"One of the night sorceries of Sellia, Town of Sorcery. Swiftly fires a semi-invisible projectile. This sorcery can be used without delay after performing another action. The Sellian sorcerers were assassins, and it is said that they often hunted their fellows. NOTE:",Swiftly fires a semi-invisible magic projectile,7,1,18,0,0,9,Night,"Can be purchased from Gowry for 4,000 Runes after completing his quest line.",0
61,Oracle Bubbles,http://eldenring.wiki.fextralife.com/file/Elden-Ring/magic_bubble_sorcery_elden_ring_wiki_guide_200px-icon.png,Sorcery of the claymen who served as priests in the ancient dynasty. Produces several small magical bubbles that drift towards foes before they naturally pop. Charging increases the delay before the bubbles pop. The claymen search for lost oracles within their bubbles. Note:,Launches several small magic bubbles,12,1,19,0,15,18,Claymen Sorceries,Can be found by killing one of the rolling beetles on top of a broken statue in the first structure on the right from the Siofra River Well Depths site of grace.,0
62,Rancorcall,http://eldenring.wiki.fextralife.com/file/Elden-Ring/rancorcall_sorcery_elden_ring_wiki_guide_200px.png,"Sorcery of the servants of Death. Summons vengeful spirits that chase down foes. Charging enhances potency. Once thought lost, this ancient death hex was rediscovered by the necromancer Garris. Notes:",Summons vengeful spirits that chase down foes,12,1,16,14,0,21,Death,Stormveil Castle: Dropped from a Teardrop Scarab that can be found at the underground crypt of the castle.,0
63,Ranni's Dark Moon,http://eldenring.wiki.fextralife.com/file/Elden-Ring/rannis_dark_moon_sorcery_elden_ring_wiki_guide_200px.png,"Legendary sorcery associated with the Carian queen. Uses the caster as a vessel to incarnate a cold, dark moon, then sends it floating toward foes. The dark moon dispels all sorcery that touches it, and temporarily reduces magic damage negation for those it strikes. This moon was encountered by a young Ranni, led by the hand of her mother, Rennala. What she beheld was cold, dark and veiled in occult mystery. NOTE:","Incarnate a cold, dark moon and launch it at foes.",57,2,68,0,0,32,Full Moon,Chelona's Rise: Found in a chest at the top of the tower after unlocking the seal. Follow Ranni the Witch questline to unlock this area.,0
64,Rennala's Full Moon,http://eldenring.wiki.fextralife.com/file/Elden-Ring/rennalas_full_moon_sorcery-icon_elden_ring_wiki_guide_200px.png,"Sorcery associated with the Carian queen. Uses the caster as a vessel to incarnate a full moon, then sends it floating toward foes. The full moon dispels all sorcery that touches it, and temporarily reduces magic damage negation for those it strikes. Queen Rennala encountered this enchanting moon when she was young, and later, it would bewitch the academy. NOTE:",Incarnate a full moon and launch it at foes,47,2,70,0,0,32,Full Moon,Obtained when unlocking the Remembrance of The Full Moon Queen's power by handing it over to Enia at Roundtable Hold.,0
65,Rock Blaster,http://eldenring.wiki.fextralife.com/file/Elden-Ring/rock_blaster_sorcery_elden_ring_wiki_guide_200px.png,"One of the glintstone sorceries of the Academy of Raya Lucaria. Imbues the ferrule of the caster's staff with magic, then thrusts itinto the ground to create a massive magical shockwave. Hold to continue moving without striking the ground, and thenpush the end of the staff into enemies. An enhanced version of the glintstone miners' Stonediggersorcery.",Thrust staff into ground to emit a massive shockwave,22 (5),1,21,0,0,35,Glintstone (Stonediggers),Sellia Crystal Tunnel: Found in a chest inside a storage shed in the upper levels of the main cavern.,0
66,Rock Sling,http://eldenring.wiki.fextralife.com/file/Elden-Ring/rock_sling_sorcery-icon_elden_ring_wiki_guide_200px.png,One of the glintstone sorceries that manipulates gravitational forces. Pulls a clump of rocks from the earth and sends them flying. This sorcery can be cast while in motion. A gravitational technique studied by the young Radahn. His master was an Alabaster Lord with skin of stone.,Summons rocks from the earth and sends its flying,18,1,18,0,0,29,Gravity,"Found in a chest in an underground cellar just north of the Street of Sages Ruins icon on the map. It is surrounded by poison mages, but otherwise is free to be picked up.",0
67,Roiling Magma,http://eldenring.wiki.fextralife.com/file/Elden-Ring/roiling_magma_sorcery_elden_ring_wiki_guide_200px.png,"One of the sorceries developed from the magma of Mt. Gelmir.Fires a lump of condensed magma that explodes a short delay after hitting the target.Charging enhances potency and further delays the explosion.After discovering the ancient hexes of Gelmir, Rykard, son of Queen Rennala, brought them back into practical use as new forms of sorcery. NOTE:",Fires lump of magma that explodes after delay,28,1,21,12,0,27,Magma,Found on a corpse inside the Hermit's Shack in Mt. Gelmir.,0
68,Rykard's Rancor,http://eldenring.wiki.fextralife.com/file/Elden-Ring/rykards_rancor_sorcery_elden_ring_wiki_guide_200px.png,"The terrible power of Rykard, Lord of Blasphemy. Summons searing spirits that leave a trail of delayed explosions in their wake. These spirits manifest from the rancor of heroes who met a violent end. The lord granted them an audience, whereupon they were welcomed by the maw of the great serpent -- and within the serpent's bowels, they became the lord's kin. Note:",Releases searing spirits that repeatedly explode after delay,23,2,40,18,0,36,Magma,Obtained when unlocking the Remembrance of the Blasphemous power by handing it over to Enia at Roundtable Hold,0
69,Scholar's Armament,http://eldenring.wiki.fextralife.com/file/Elden-Ring/scholars_armament_sorcery_elden_ring_wiki_guide_200px.png,One of the glintstone sorceries of the Academy of Raya Lucaria. Enchants armaments held in the right hand with magic-affinity attacks.This sorcery can be cast while in motion. Taught to the Knights of the Cuckoo by the academy as payment for their contract.,Enchants right-hand armament with magic damage,25,1,12,0,0,10,Glintstone,"Can be purchased from Sorceress Sellen for 3,000 Runes. Sellen is located in Limgrave: Waypoint Ruins",0
70,Scholar's Shield,http://eldenring.wiki.fextralife.com/file/Elden-Ring/scholars_shield-elden-ring-wiki-guide-200px.png,One of the glintstone sorceries of the Academy of Raya Lucaria. Enchants shield held in the left hand with additional damage negation.This sorcery can be cast while in motion. Taught to the Knights of the Cuckoo by the academy as payment for their contract.,Enhances left-hand shield damage negation,30,1,12,0,0,10,Glintstone,Can be purchased from Sorceress Sellen for 2500 Runes. Sellen is located in Limgrave: Waypoint Ruins,0
71,Shard Spiral,http://eldenring.wiki.fextralife.com/file/Elden-Ring/shard_spiral_sorcery_elden_ring_wiki_guide_200px.png,"One of the glintstone sorceries of the Academy of Raya Lucaria. Fires twin projectiles that form a spiral as they travel. This sorcery can be cast repeatedly and while in motion. Charging enhances potency. A sorcery of the Karolos Conspectus, the most venerable of the academy. This was the product of a failed attempt to create a new comet. NOTE: This was changed with Patch 1.07 as follows: The Attack Power was Increased.",Fire twin spiraling projectiles,14,1,27,0,0,28,Glintstone,"Available for purchase from the Sorcery Instruction of Sorceress Sellen for 8,000 Runes after progressing through her questline and choosing to side with her.",0
72,Shatter Earth,http://eldenring.wiki.fextralife.com/file/Elden-Ring/shatter_earth_sorcery_elden_ring_wiki_guide_200px.png,"One of the glintstone sorceries of the Academy of Raya Lucaria.Imbues the ferrule of the caster's staff with magic, then thrusts it into the ground to create a magical shockwave.Allows one follow-up attack.A Stonedigger sorcery used by the glintstone miners of the crystal tunnel. At the academy, use of this sorcery was a stigma that marked out failed scholars. Note:",Thrust staff into ground to emit a shockwave,10,1,15,0,0,22,Glintstone (Stonedigger),"Found on a corpse in the second-to-last level of the Raya Lucaria Crystal Tunnel, inside an opening in the north. [Map Link]",0
73,Shattering Crystal,http://eldenring.wiki.fextralife.com/file/Elden-Ring/shatterlng_crystal_sorcery_elden_ring_wiki_guide_200px.png,"Sorcery of the mysterious Crystalians.Creates a mass of crystal, then shatters it in a forward burst.Charging enhances potency.The Crystalians are inorganic beings, yet they live. They cleave close to the ideals of the primeval current, and as such, they are revered guests of the sorcerers.",Creates crystal mass that shatters in forward burst,21,1,38,0,0,30,Crystalian,"Looted off a corpse on the second floor, west side, of the Church of the Cuckoo in Raya Lucaria Academy. The only way to reach this is going through the broken glass window of the church via the rooftops. [Map Coordinates]",0
74,Star Shower,http://eldenring.wiki.fextralife.com/file/Elden-Ring/star_shower_sorcery_elden_ring_wiki_guide_200px.png,One of the glintstone sorceries of the Academy of Raya Lucaria.Fires six magic shooting stars that pursue the target.This sorcery can be cast while in motion. Charging enhances potency.The most difficult to master of the Olivinus Conspectus sorceries.,Fires six shooting stars that pursue foes,23,1,24,0,0,26,Glintstone,"Can be purchased for 10,000 Runes after you deliver the Conspectus Scroll to Miriel Pastor of Vows, Sorceress Sellen, or Preceptor Seluvis.",0
75,Starlight,http://eldenring.wiki.fextralife.com/file/Elden-Ring/starlight_sorcery_elden_ring_wiki_guide_200px.png,"One of the glintstone sorceries of the Academy of Raya Lucaria. Creates a small, floating star light that illuminates surroundings. This sorcery can be cast while in motion. Granted to sorcerers who depart from the academy to embark on journeys. Even during the blackest nights, sojourns underground, or imprisonment in gaol, the stars are never far from a sorcerer's side. Note:",Creates star light to illuminate surroundings,9,1,15,0,0,5,Glintstone,Starlight can be learned from Thops at the Church of Irith.,0
76,Stars of Ruin,http://eldenring.wiki.fextralife.com/file/Elden-Ring/stars_of_ruin_sorcery_elden_ring_wiki_guide_200px.png,"Legendary sorcery devised by Lusat, primeval sorcerers. Fires twelve dark shooting stars that pursue the target. This sorcery can be cast while in motion. Charging increases potency. When Lusat glimpsed into the primeval current, he beheld the final moments of a great star cluster, and upon seeing it, he too was broken.",Fire twelve dark shooting stars that pursue foes,32,1,43,0,0,29,Primeval Sorceries,Given by Primeval Sorcerer Lusat in Sellia Hideaway. You must follow Sorceress Sellen questline to unlock this NPC.,0
77,Swift Glintstone Shard,http://eldenring.wiki.fextralife.com/file/Elden-Ring/swift_glintstone_shard_sorcery_elden_ring_wiki_guide_200px.png,"One of the glintstone sorceries of the Academy of Raya Lucaria.The glintstone serves as a conduit, launching swift magical projectiles at foes.This sorcery can be used without delay after performing another action.Those unworthy of the stone crown typically end their brief journey into sorcery here.",Swiftly fires magic projectiles from glintstone,5,1,12,0,0,9,Glintstone,"Can be purchased for 600 Runes after you deliver the Academy Scroll to Miriel Pastor of Vows, Sorceress Sellen, or Preceptor Seluvis.",0
78,Terra Magica,http://eldenring.wiki.fextralife.com/file/Elden-Ring/terra_magicus_sorcery_elden_ring_wiki_guide_200px.png,"One of the glintstone sorceries of the Academy of Raya Lucaria. Draws an academy sigil upon the ground, raising the magic strength of those within. Once, the sigil would be cast from the highest belfry of the academy, covering the entire institution's grounds. This spell allows such vivid experience of spellcasting success, it turns many a fledgling into a true sorcerer in a flash of newfound understanding. Note:",Raises the magic strength of those within the sigil,20,1,20,0,0,12,Glintstone,"Take the elevator behind the Crystalians and climb the stairs, to find it inside a chest.",0
79,Thops's Barrier,http://eldenring.wiki.fextralife.com/file/Elden-Ring/thopss_barrier_sorcery_elden_ring_wiki_guide_200px.png,"This is the page for the sorcery: Thop's Barrier. Click here for the Ash of War: Thops's Barrier. The lifelong pursuit of Thops the Bluntstone. Creates a magic forcefield that deflects sorceries and incantations.Hold to continuously create barriers. Future generations will learn. They will know the foolishness ofthe sneering sorcerers who ridiculed this theory, little realizingthat it was in fact a discovery worthy of a new conspectus of the academy.",Erect a magic forcefield to deflect spells,7 (7),1,18,0,0,10,Glintstone,"Looted from Thops's body.You must give him the Academy Glintstone Key first.Once he has it, fast travel to the Schoolhouse Classroom site of grace of Raya Lucaria Academy, you'll find him dead outside the room. Go outside and turn right, you'll find him, sitting in a chair. Map Link.",0
80,Tibia's Summons,http://eldenring.wiki.fextralife.com/file/Elden-Ring/tibias_summons_sorcery_elden_ring_wiki_guide_200px.png,Sorcery of the servants of Death.Summons a group of Those Lost in Death.Three skeletons will appear some distance from the caster and attack foes before disappearing.The dead have long been left to wander; what they need is leadership. Note:,Summons Those Who Live in Death,17,1,28,20,0,27,Death,Drops from Tibia Mariner located in Wyndham Ruins. Map Link,0
81,Unseen Blade,http://eldenring.wiki.fextralife.com/file/Elden-Ring/unseen_blade_sorcery_elden_ring_wiki_guide_200px.png,"One of the night sorceries of Sellia, Town of Sorcery. Enchants armament held in right hand, making it completely invisible.This sorcery can be cast while in motion. Used by Sellian assassins to present themselves as unarmed sorcerers. NOTE:",Makes right-hand armament completely invisible,13,1,12,0,0,10,Night,This sorcery can be found at the top of the Tower after completing the Mirage Rise puzzle.,0
82,Unseen Form,http://eldenring.wiki.fextralife.com/file/Elden-Ring/unseen_form_sorcery_elden_ring_wiki_guide_200px.png,"One of the night sorceries of Sellia, Town of Sorcery. Makes the caster semi-invisible. While on horseback, effect extends to cover the mount. This sorcery can be cast while in motion.The Sellian assassins considered every option that aided their dirty work.",Makes the caster semi-invisible,20,1,16,0,0,10,Night,This sorcery can be found at the top of the Tower after completing the Mirage Rise puzzle.,0
83,Zamor Ice Storm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/zamor_ice_storm_sorcery_elden_ring_wiki_guide_200px.png,"Ice sorcery of the Town of Zamor. Strike the ground with the staff to create a freezing tornado. Charging enhances potency. Cloaked in icy tempests, the knights of Zamor have challenged the Fire Giants since ancient times.",Thrust staff into ground to create freezing tornado,17,1,36,0,0,27,Cold,Found in Zamor Ruins,0
