id,name,image,location,role,voiced by,description,dlc
78,Queen Marika the Eternal,http://eldenring.wiki.fextralife.com/file/Elden-Ring/queen-marika-lore-npc-elden-ring-wiki-300px.jpeg,Within the Erdtree,Ruler of The Lands Between,,"Queen Marika the Eternal is a background character in Elden Ring and Shadow of the Erdtree. She is the current ruler of the Lands Between, and the one who shattered the Elden Ring. She has many powerful Demigod offspring, who seek the Elden Ring's remaining power (see Elden Ring Timeline).",1
79,Ranni Witch Carian Lunar Princess,http://eldenring.wiki.fextralife.com/file/Elden-Ring/ranni-the-witch-npc-elden-ring-wiki-guide-300px.jpg,"Ranni's Rise, Three Sisters",Main NPC - Affects Endings,Aimee-Ffion Edwards,,0
81,Renna,http://eldenring.wiki.fextralife.com/file/Elden-Ring/the-snow-witch-npc-infobox-elden-ring-wiki-guide-300px.jpg,Limgrave,The Storyteller,Aimee-Ffion Edwards,Aimee-Ffion Edwards,0
82,"Rennala, Queen of the Full Moon",http://eldenring.wiki.fextralife.com/file/Elden-Ring/rennala-queen-of-the-moon-raya-lucaria-academy-walkthrough-elden-ring-wiki-guide-600px-min.jpg,Academy of Raya Lucaria,Last Carian Queen,Mali Harries,"Rennala, Queen of the Full Moon is an NPC in Elden Ring. Rennala gives access to the Rebirth function, allowing the player to reallocate their stats by using a Larval Tear (also called respeccing). She can also be used to change the player's appearance.",0
83,Roderika,http://eldenring.wiki.fextralife.com/file/Elden-Ring/woman_with_a_red_hood_npc_elden_ring_wiki_guide_300px.jpg,Stormhill ShackRoundtable Hold,Spirit-Tuner,Helen Monks,Roderika is an NPC in Elden Ring. Roderika is a spirit-tuner that you will encounter at Stormhill Shack on the trail to Stormveil. She will later move to the Roundtable Hold if you progress her quest.,0
84,Rya,http://eldenring.wiki.fextralife.com/file/Elden-Ring/rya_npcs_elden_ring_wiki_guide_300px.jpg,Volcano Manor,Scout,Ellie Heydon,"Rya is an NPC in Elden Ring. Rya acts as a scout for the Volcano Manor, and is the adopted daughter of Tanith.",0
85,"Rykard, Lord of Blasphemy",http://eldenring.wiki.fextralife.com/file/Elden-Ring/rykard_lord_of_blasphemy_bosses_elden_ring_wiki_600px1.jpg,Volcano Manor,,,"God-Devouring Serpent and Rykard, Lord of Blasphemy is a two-phase Demigod Boss in Elden Ring. The God-Devouring Serpent is a massive coiled serpent found at the Volcano Manor in Mt. Gelmir, and Rykard, Lord of Blasphemy is its true form that's revealed after the first phase is defeated. When Rykard offered himself up to the serpent in a pursuit of immortality, most of his followers turned on him and sought to bring him down with the Serpent-Hunter.",0
86,Sanguine Noble (NPC),http://eldenring.wiki.fextralife.com/file/Elden-Ring/sanguine-noble-npc.jpeg,Consecrated Snowfield,,,"Sanguine Noble is an NPC enemy invader located in the Consecrated Snowfields. By heading West of the Inner Consecrated Snowfield grace, and just North of the Yelough Anix Ruins towards the cliff edge.",0
87,Shabriri,http://eldenring.wiki.fextralife.com/file/Elden-Ring/shabriri_npc_mountaintops_of_the_giants_elden_ring_wiki_guide.jpg,Mountaintops of the Giants,NPC and Summonable Cooperator,Shaun Dooley,"Shabriri is an NPC in Elden Ring. Shabriri can be found at the Mountaintops of the Giants and looks exactly the same as Bloody Finger Hunter Yura, as he implies the hunter died and he has been given his body. Shabriri can become available as an NPC Summon against Godfrey, First Elden Lord depending on questline progress and ending route.",0
88,The Shaded Castle Spirit,http://eldenring.wiki.fextralife.com/file/Elden-Ring/shadedcastle_spiritt.jpg,Inside The Shaded Castle,Benevolent,,The Shaded Castle Spirit is an NPC in Elden Ring. The Shaded Castle Spirit lays defeated within The Shaded Castle.,0
89,Siofra River Spirit,http://eldenring.wiki.fextralife.com/file/Elden-Ring/siofrariverspiritc.jpg,Siofra River,Benevolent,,The Siofra River Spirit is an NPC in Elden Ring. He can be seen worshipping the Mohgwyn Dynasty Mausoleum.,0
91,Smithing Master Hewg,http://eldenring.wiki.fextralife.com/file/Elden-Ring/blacksmith_hewg_elden_ring_wiki_guide_300px.jpg,Roundtable Hold,Blacksmith,James Doherty,"Smithing Master Hewg is an NPC in Elden Ring. Hewg is an imprisoned Misbegotten blacksmith that can be found at the Roundtable Hold. He will upgrade your Weapons beyond the +3 level, as well as duplicating Ashes of War for a fee, provided you have the proper Materials.",0
92,Sorcerer Rogier,http://eldenring.wiki.fextralife.com/file/Elden-Ring/rogier_elden_ring_wiki_guide_300px.jpg,Stormveil Castle Roundtable Hold,"Merchant, Quest NPC, and Summon",Ben Norris,Stormveil Castle,0
93,Sorceress Sellen,http://eldenring.wiki.fextralife.com/file/Elden-Ring/sorceress-sellen-npc-photo-elden-ring-wiki-guide-300px-min.jpg,"Limgrave, Waypoint Ruins Weeping Peninsula, Witchbane Ruins",Merchant and Quest NPC,,"Sorceress Sellen is a Merchant and NPC in Elden Ring. She can be found inside the Waypoint Ruins, far east from where you first arrive in Limgrave. She can teach you Sorceries. She can also be made available as an NPC Summon for specific battles.",0
94,St. Trina,http://eldenring.wiki.fextralife.com/file/Elden-Ring/elden-ring-st-trina-jpeg.jpg,Garden of Deep Purple (Stone Coffin Fissure),NPC Quest Related,Jessica Rhodes,St. Trina is an NPC in Elden Ring. She can be found in Stone Coffin Fissure and is vital to the progression of Thiollier's questline. St. Trina was first mentioned in the base game in various items like St. Trina's Torch and resembles Miquella.,1
95,Stranded Graveyard Spirit,http://eldenring.wiki.fextralife.com/file/Elden-Ring/strandedgraveyardspirit.jpg,Stranded Graveyard,Benevolent,,The Stranded Graveyard Spirit is an NPC in Elden Ring. He is located in the Stranded Graveyard and tells you where the training area for the game is.,0
96,Study Hall Spirit,http://eldenring.wiki.fextralife.com/file/Elden-Ring/carianstudyhallspirit.jpg,Carian Study Hall,Benevolent,,The Study Hall Spirit is an NPC in Elden Ring. He can be found inside the Carian Study Hall behind a pew.,0
97,Tanith,http://eldenring.wiki.fextralife.com/file/Elden-Ring/tanith_npc_elden_ring_wiki_guide_300x.jpg,Volcano Manor,Quest NPC,Gemma Whelan,"Tanith, Volcano Manor Proprietress is an NPC in Elden Ring. Tanith is the head of the Volcano Manor, and asks the players about joining forces against the Fingers. If you decide to join her quest, you will receive particular missions as well as access to some new Npcs.",0
98,The Great-Jar,http://eldenring.wiki.fextralife.com/file/Elden-Ring/great-jar.png,Caelid,NPC,,"The Great-Jar is an NPC in Elden Ring. The Great-Jar can be found in Northern Caelid, at the colosseum North of the Deep Siofra River Well Site of Grace.",0
99,The Two Fingers,http://eldenring.wiki.fextralife.com/file/Elden-Ring/two-fingers.png,Roundtable Hold,Messenger of The Greater Will,,"The Two Fingers are an PC in Elden Ring. They are large, shriveled hands with only two fingers that are said to deliver messages of The Greater Will that only the finger readers can interpret.",0
100,Thiollier,http://eldenring.wiki.fextralife.com/file/Elden-Ring/thiollier.png,"Gravesite Plain, next to Pillar Path Cross","Merchant, NPC Quest Related",Sam Glen,"Thiollier is an NPC in Elden Ring. Thiollier has an eye for crafting poison and is not a fighter. Thiollier is an NPC that can be found exclusively in the Shadow of the Erdtree DLC, and can't be found in the base game.",1
101,Thops,http://eldenring.wiki.fextralife.com/file/Elden-Ring/thops_npc_elden_ring_wiki_guide_300px.jpg,Church of Irith in Liurnia of the Lakes,Sorcery Student,Mathew Morgan,"Thops is an NPC in Elden Ring. Thops is a student at the Academy of Raya Lucaria. He can teach some rudimentary sorceries, provided you can spare a small donation of Runes first.",0
102,Three Fingers,http://eldenring.wiki.fextralife.com/file/Elden-Ring/three_fingerssmall.jpg,Cathedral of the Forsaken,Quest NPC,,"Three Fingers is an NPC in Elden Ring. Three Fingers is an integral part of The Lord of Frenzied Flame ending and can be found near the Cathedral of the Forsaken, below the Subterranean Shunning-Grounds",0
103,Tower of Return Spirit,http://eldenring.wiki.fextralife.com/file/Elden-Ring/tower_of_return_spirit.jpg,On a Western cliff in the Weeping Peninsula,Benevolent,,The Tower of Return Spirit is an NPC in Elden Ring. He rests on a rock with a forlonging stare towards the Tower of Return.,0
104,Twin Maiden Husks,http://eldenring.wiki.fextralife.com/file/Elden-Ring/twin_maiden_husks_npcs_elden_ring_wiki_300px.jpg,Roundtable Hold,Merchant,,"Twin Maiden Husks is an NPC and Merchant in Elden Ring. Twin Maiden Husks look like two Finger Readers, holding a staff, and will take Bell Bearing objects to expand their inventory, giving players an option to purchase many Upgrade Materials and the stores of any dead merchant.",0
105,Two Fingers,http://eldenring.wiki.fextralife.com/file/Elden-Ring/two-fingers.png,Roundtable Hold,God Greater Will Manifestation,,God,0
106,Volcano Manor Spirit,,Volcano Manor,Benevolent,,The Volcano Manor Spirit is an NPC in Elden Ring. He rests in the Volcano Manor.,0
107,Wandering Artist Spirit,http://eldenring.wiki.fextralife.com/file/Elden-Ring/flightlessbirdspiritcl.jpg,LimgraveLakes of LiurniaDragonbarrowAltus PlateauMountaintops of the Giants,Quest NPC,,"The Wandering Artist Spirit is an NPC in Elden Ring. He is the artist that painted the landscape paintings that can be collected through the Lands Between.For a guide and more information on the Wandering Artist Spirit's quest, visit the Paintings page.",0
108,Iji War Counselor & Carian Blacksmith,http://eldenring.wiki.fextralife.com/file/Elden-Ring/smithing-master-iji-npc-elden-ring-wiki-guide.jpg,"Kingsrealm Ruins, Western Liurnia of the Lakes",Blacksmith & Quest NPC,Aneirin Hughes,"War Counselor Iji is an NPC in Elden Ring. War Counselor Iji (first encountered as Smithing Master Iji) is a gentle Troll in charge of the smithing for the Carian royals, but will also provide his services to the player.Find him by heading north into the slopes of Western Liurnia of the Lakes.",0
109,White Mask Varre,http://eldenring.wiki.fextralife.com/file/Elden-Ring/white-faced-varre-npc-elden-ring-wiki-guide.jpg,Various Locations,Guide and Quest NPC,Pip Torrens,"White Mask Varre is an NPC in Elden Ring. White Mask Varre is encountered near the start of the game, right by The First Step Site of Grace, and will offer advice to the player. He can be found multiple times in different locations as the story progresses.",0
110,Windmill Spirit,http://eldenring.wiki.fextralife.com/file/Elden-Ring/windmillspirit.jpg,"Dominula, Windmill Village",Benevolent,,"The Windmill Spirit is an NPC in Elden Ring. He can be found hiding from the Celebrants behind a cart and a wooden box in the Windmill Village.,",0
111,Witch-Hunter Jerren,http://eldenring.wiki.fextralife.com/file/Elden-Ring/witch-hunter-jerren-npcs-elden-ring-wiki-300px-min.jpeg,Redmane Castle Academy of Raya Lucaria,Quest NPC and Summon,Shane Attwooll,"Witch-Hunter Jerren is an NPC in Elden Ring. Jerren, first known as Castellan Jerren, is a part of the Sorceress Sellen questline. He can also be seen as a herald, making proclamations about the Radahn Festival around Redmane Castle just as the festival is getting prepared to start. He then initiates the festival. Jerren has the opportunity to fight alongside players as an NPC Summon.",0
